doi,given_name,family_name
10.1128/jb.147.3.1085-1094.1981,Bonni Yee,Reichelt
10.1128/jb.147.3.1085-1094.1981,Graham H.,Fleet
10.3390/microorganisms11040818,Smaranda Ioana,Codreanu
10.3390/microorganisms11040818,Cristina Nicoleta,Ciurea
10.1128/spectrum.02589-21,Albert,Ruiz-Sorribas
10.1128/spectrum.02589-21,Hervé,Poilvache
10.1128/spectrum.02589-21,Nur Hidayatul Nazirah,Kamarudin
10.1128/spectrum.02589-21,Annabel,Braem
10.1128/spectrum.02589-21,Françoise,Van Bambeke
10.1177/0300985817698207,Courtney,Meason-Smith
10.1177/0300985817698207,Erin E.,Edwards
10.1177/0300985817698207,Caitlin E.,Older
10.1177/0300985817698207,Mackenzie,Branco
10.1177/0300985817698207,Laura K.,Bryan
10.1177/0300985817698207,Sara D.,Lawhon
10.1177/0300985817698207,Jan S.,Suchodolski
10.1177/0300985817698207,Gabriel,Gomez
10.1177/0300985817698207,Joanne,Mansell
10.1177/0300985817698207,Aline Rodrigues,Hoffmann
10.1002/etc.5445,Eszter,Simon
10.1002/etc.5445,Carolin,Riegraf
10.1002/etc.5445,Andrea,Schifferli
10.1002/etc.5445,Daniel,Olbrich
10.1002/etc.5445,Thomas,Bucher
10.1002/etc.5445,Etiënne L. M.,Vermeirssen
10.4049/jimmunol.2000447,Qian,Meng
10.4049/jimmunol.2000447,Pei-Pei,Wu
10.4049/jimmunol.2000447,Miao-Miao,Li
10.4049/jimmunol.2000447,Rui-Hao,Shu
10.4049/jimmunol.2000447,Gui-Ling,Zhou
10.4049/jimmunol.2000447,Ji-Hong,Zhang
10.4049/jimmunol.2000447,Huan,Zhang
10.4049/jimmunol.2000447,Haobo,Jiang
10.4049/jimmunol.2000447,Qi-Lian,Qin
10.4049/jimmunol.2000447,Zhen,Zou
10.1128/AAC.04650-14,Katrijn,De Brucker
10.1128/AAC.04650-14,Yulong,Tan
10.1128/AAC.04650-14,Katlijn,Vints
10.1128/AAC.04650-14,Kaat,De Cremer
10.1128/AAC.04650-14,Annabel,Braem
10.1128/AAC.04650-14,Natalie,Verstraeten
10.1128/AAC.04650-14,Jan,Michiels
10.1128/AAC.04650-14,Jef,Vleugels
10.1128/AAC.04650-14,Bruno P. A.,Cammue
10.1128/AAC.04650-14,Karin,Thevissen
10.1128/jb.173.10.3101-3108.1991,J L,Patton
10.1128/jb.173.10.3101-3108.1991,R L,Lester
10.1128/jb.173.23.7429-7435.1991,C C,Adams
10.1128/jb.173.23.7429-7435.1991,D S,Gross
10.1155/2013/268249,Ravi N.,Vellanki
10.1155/2013/268249,Ravichandra,Potumarthi
10.1155/2013/268249,Kiran K.,Doddapaneni
10.1155/2013/268249,Naveen,Anubrolu
10.1155/2013/268249,Lakshmi N.,Mangamoori
10.1128/iai.58.11.3469-3476.1990,K C,Hazen
10.1128/iai.58.11.3469-3476.1990,J G,Lay
10.1128/iai.58.11.3469-3476.1990,B W,Hazen
10.1128/iai.58.11.3469-3476.1990,R C,Fu
10.1128/iai.58.11.3469-3476.1990,S,Murthy
10.1128/iai.63.4.1253-1257.1995,E,Blasi
10.1128/iai.63.4.1253-1257.1995,L,Pitzurra
