doi,keyword,given_name,family_name,affiliation,address
10.3390/microorganisms11040818,Lyticase,Smaranda Ioana,Codreanu,"Faculty of Medicine, “George Emil Palade” University of Medicine, Pharmacy, Sciences and Technology of Târgu Mures, 38 Gheorghe Marinescu Street, 540139 Târgu Mures, Romania","Strada Gheorghe Marinescu 38, Târgu Mureș 540139, Romania"
10.3390/microorganisms11040818,Lyticase,Cristina Nicoleta,Ciurea,"Department of Microbiology, Faculty of Medicine, “George Emil Palade” University of Medicine, Pharmacy, Sciences and Technology of Târgu Mures, 38 Gheorghe Marinescu Street, 540139 Târgu Mures, Romania","Strada Gheorghe Marinescu 38, Târgu Mureș 540139, Romania"
10.1128/spectrum.02589-21,Lyticase,Albert,Ruiz-Sorribas,"Pharmacologie Cellulaire et Moléculaire, Louvain Drug Research Institute, Université catholique de Louvain, Brussels, Belgium","Belgium, E. Mounierlaan 73, 1200 Sint-Lambrechts-Woluwe, Belgium"
10.1128/spectrum.02589-21,Lyticase,Hervé,Poilvache,"Laboratoire de neuro musculo squelettique, Institut de Recherche Expérimentale et Clinique, Université catholique de Louvain, Brussels, Belgium","2d floor, Av. Hippocrate 54, 1200 Woluwe-Saint-Lambert, Belgium"
10.1128/spectrum.02589-21,Lyticase,Nur Hidayatul Nazirah,Kamarudin,"Department of Materials Engineering, Biomaterials and Tissue Engineering Research Group, KU Leuven, Leuven, Belgium","Oude Markt 13, 3000 Leuven, Belgium"
10.1128/spectrum.02589-21,Lyticase,Annabel,Braem,"Department of Materials Engineering, Biomaterials and Tissue Engineering Research Group, KU Leuven, Leuven, Belgium","Oude Markt 13, 3000 Leuven, Belgium"
10.1128/spectrum.02589-21,Lyticase,Françoise,Van Bambeke,"Pharmacologie Cellulaire et Moléculaire, Louvain Drug Research Institute, Université catholique de Louvain, Brussels, Belgium","Belgium, E. Mounierlaan 73, 1200 Sint-Lambrechts-Woluwe, Belgium"
10.1177/0300985817698207,Lyticase,Courtney,Meason-Smith,"Department of Veterinary Pathobiology, College of Veterinary Medicine and Biomedical Sciences, Texas A&M University, College Station, TX, USA","Texas A&M University, Veterinary Medical Sciences Building, 400 Raymond Stotzer Pkwy #4467, College Station, TX 77843, USA"
10.1177/0300985817698207,Lyticase,Erin E.,Edwards,"Department of Veterinary Pathobiology, College of Veterinary Medicine and Biomedical Sciences, Texas A&M University, College Station, TX, USA","Texas A&M University, Veterinary Medical Sciences Building, 400 Raymond Stotzer Pkwy #4467, College Station, TX 77843, USA"
10.1177/0300985817698207,Lyticase,Caitlin E.,Older,"Department of Veterinary Pathobiology, College of Veterinary Medicine and Biomedical Sciences, Texas A&M University, College Station, TX, USA","Texas A&M University, Veterinary Medical Sciences Building, 400 Raymond Stotzer Pkwy #4467, College Station, TX 77843, USA"
10.1177/0300985817698207,Lyticase,Mackenzie,Branco,"Department of Veterinary Pathobiology, College of Veterinary Medicine and Biomedical Sciences, Texas A&M University, College Station, TX, USA","Texas A&M University, Veterinary Medical Sciences Building, 400 Raymond Stotzer Pkwy #4467, College Station, TX 77843, USA"
10.1177/0300985817698207,Lyticase,Laura K.,Bryan,"Department of Veterinary Pathobiology, College of Veterinary Medicine and Biomedical Sciences, Texas A&M University, College Station, TX, USA","Texas A&M University, Veterinary Medical Sciences Building, 400 Raymond Stotzer Pkwy #4467, College Station, TX 77843, USA"
10.1177/0300985817698207,Lyticase,Sara D.,Lawhon,"Department of Veterinary Pathobiology, College of Veterinary Medicine and Biomedical Sciences, Texas A&M University, College Station, TX, USA","Texas A&M University, Veterinary Medical Sciences Building, 400 Raymond Stotzer Pkwy #4467, College Station, TX 77843, USA"
