"doi","pmid","keyword","countries","title"
"10.1007/s00403-022-02325-3","35218370","Fungal Infections","USA","Secukinumab responses vary across the spectrum of congenital ichthyosis in adults"
"10.1016/j.cct.2021.106394","33838307","Fungal Infections","USA","Design and methods of a multi-site randomized controlled trial of an integrated care model of long-acting injectable buprenorphine with infectious disease treatment among persons hospitalized with infections and opioid use disorder"
"10.1111/ctr.13507","30793386","UTI","USA","Urinary tract infections in solid organ transplant recipients: Guidelines from the American Society of Transplantation Infectious Diseases Community of Practice"
"10.1038/nature22972","28614296","UTI","USA,Belgium","Selective depletion of uropathogenic E. coli from the gut by a FimH antagonist"
"10.1007/s00467-021-05173-x","34251495","UTI","USA","Biomarkers for febrile urinary tract infection in children"
"10.1093/cid/ciab749","34463708","UTI","USA","Envisioning Future Urinary Tract Infection Diagnostics"
"10.1007/s00192-021-04779-x","33797594","UTI","USA","The impact of midurethral sling surgery on the development of urinary tract infections"
"10.1177/09564624211060185","34852691","STI","USA,Vietnam","HIV and STI prevalence and testing history among men who have sex with men in Hanoi, Vietnam"
"10.1080/13548506.2021.1883693","33538608","STI","USA","Feminine honor endorsement and young women's STI screenings"
"10.1111/his.14668","35474588","STI","USA,Canada","The solid variant of papillary thyroid carcinoma: a multi-institutional retrospective study"
"10.1097/QAD.0000000000002910","34185713","STI","USA,Canada","Structural determinants of HIV/STI prevalence, HIV/STI/sexual and reproductive health access, and condom use among immigrant sex workers globally"
"10.1016/j.jasc.2021.07.003","34548251","STI","USA","Using ThinPrep Papanicolaou test samples to evaluate sexually transmitted infection screening practices"
"10.1097/OLQ.0000000000001129","31923137","STI","USA","Predictors of Sexually Transmitted Infection Positivity Among Substance-Using Native American Adults"
"10.1016/j.cub.2020.04.071","32502407","Pathogenic Yeasts","USA,Brazil,Belgium","Pathogenic Allodiploid Hybrids of Aspergillus Fungi"
"10.1093/femsyr/foz032","31076749","Pathogenic Yeasts","USA","Pathogenic budding yeasts isolated outside of clinical settings"
"10.1128/JCM.37.12.3835-3843.1999","10565893","Pathogenic Yeasts","USA","Species and genotypic diversities and similarities of pathogenic yeasts colonizing women"
"10.3390/biom10101371","32993102","Pathogenic Yeasts","USA","Sphaerostilbellins, New Antimicrobial Aminolipopeptide Peptaibiotics from Sphaerostilbella toxica"
"10.1128/IAI.69.5.2957-2963.2001","11292712","Pathogenic Yeasts","USA","Pathogenic yeasts Cryptococcus neoformans and Candida albicans produce immunomodulatory prostaglandins"
"10.3389/fmicb.2012.00381","23133438","Pathogenic Fungi","USA","Coordination of hypoxia adaptation and iron homeostasis in human pathogenic fungi"
"10.1086/344058","12384841","Pathogenic Fungi","USA","Antifungal resistance in pathogenic fungi"
