doi,author_name,given_name,family_name,keyword,pubmed_id,affiliation,institute,address,full_name
10.1177/0300985817698207,Meason-Smith C,Courtney,Meason-Smith,Lyticase,28346123,"1 Department of Veterinary Pathobiology, College of Veterinary Medicine and Biomedical Sciences, Texas A&M University, College Station, TX, USA.",Texas A&M University,"Texas A&M University, Veterinary Medical Sciences Building, 400 Raymond Stotzer Pkwy #4467, College Station, TX 77843, USA",Courtney Meason-Smith
10.1177/0300985817698207,Edwards EE,Erin E.,Edwards,Lyticase,28346123,"1 Department of Veterinary Pathobiology, College of Veterinary Medicine and Biomedical Sciences, Texas A&M University, College Station, TX, USA.",Texas A&M University,"Texas A&M University, Veterinary Medical Sciences Building, 400 Raymond Stotzer Pkwy #4467, College Station, TX 77843, USA",Erin E. Edwards
10.1177/0300985817698207,Older CE,Caitlin E.,Older,Lyticase,28346123,"1 Department of Veterinary Pathobiology, College of Veterinary Medicine and Biomedical Sciences, Texas A&M University, College Station, TX, USA.",Texas A&M University,"Texas A&M University, Veterinary Medical Sciences Building, 400 Raymond Stotzer Pkwy #4467, College Station, TX 77843, USA",Caitlin E. Older
10.1177/0300985817698207,Branco M,Mackenzie,Branco,Lyticase,28346123,"1 Department of Veterinary Pathobiology, College of Veterinary Medicine and Biomedical Sciences, Texas A&M University, College Station, TX, USA.",Texas A&M University,"Texas A&M University, Veterinary Medical Sciences Building, 400 Raymond Stotzer Pkwy #4467, College Station, TX 77843, USA",Mackenzie Branco
10.1177/0300985817698207,Bryan LK,Laura K.,Bryan,Lyticase,28346123,"1 Department of Veterinary Pathobiology, College of Veterinary Medicine and Biomedical Sciences, Texas A&M University, College Station, TX, USA.",Texas A&M University,"Texas A&M University, Veterinary Medical Sciences Building, 400 Raymond Stotzer Pkwy #4467, College Station, TX 77843, USA",Laura K. Bryan
10.1177/0300985817698207,Lawhon SD,Sara D.,Lawhon,Lyticase,28346123,"1 Department of Veterinary Pathobiology, College of Veterinary Medicine and Biomedical Sciences, Texas A&M University, College Station, TX, USA.",Texas A&M University,"Texas A&M University, Veterinary Medical Sciences Building, 400 Raymond Stotzer Pkwy #4467, College Station, TX 77843, USA",Sara D. Lawhon
10.1177/0300985817698207,Suchodolski JS,Jan S.,Suchodolski,Lyticase,28346123,"2 Department of Small Animal Clinical Sciences, College of Veterinary Medicine and Biomedical Sciences, Texas A&M University, College Station, TX, USA.",Texas A&M University,"Veterinary & Biomedical Education Complex, 660 Raymond Stotzer Pkwy, College Station, TX 77843, USA",Jan S. Suchodolski
10.1177/0300985817698207,Gomez G,Gabriel,Gomez,Lyticase,28346123,"3 Texas A&M Veterinary Medical Diagnostic Laboratory, College Station, TX, USA.",College Station,"483 Agronomy Rd, College Station, TX 77843, USA",Gabriel Gomez
10.1177/0300985817698207,Mansell J,Joanne,Mansell,Lyticase,28346123,"1 Department of Veterinary Pathobiology, College of Veterinary Medicine and Biomedical Sciences, Texas A&M University, College Station, TX, USA.",Texas A&M University,"Texas A&M University, Veterinary Medical Sciences Building, 400 Raymond Stotzer Pkwy #4467, College Station, TX 77843, USA",Joanne Mansell
10.1177/0300985817698207,Hoffmann AR,Aline Rodrigues,Hoffmann,Lyticase,28346123,"1 Department of Veterinary Pathobiology, College of Veterinary Medicine and Biomedical Sciences, Texas A&M University, College Station, TX, USA.",Texas A&M University,"Texas A&M University, Veterinary Medical Sciences Building, 400 Raymond Stotzer Pkwy #4467, College Station, TX 77843, USA",Aline Rodrigues Hoffmann
10.4049/jimmunol.2000447,Jiang H,Haobo,Jiang,Lyticase,34162722,"Department of Entomology and Plant Pathology, Oklahoma State University, Stillwater, OK; and.",Oklahoma State University,"301, Physical Sciences, Stillwater, OK 74075, USA",Haobo Jiang
10.1128/jb.173.10.3101-3108.1991,Patton JL,J L,Patton,Lyticase,1827112,"Department of Biochemistry, University of Kentucky, Lexington 40536.",University of Kentucky,"145, Biomedical Biological Sciences Research Building, 741 S Limestone, Lexington, KY 40508, USA",J L Patton
10.1128/jb.173.23.7429-7435.1991,Adams CC,C C,Adams,Lyticase,1938939,"Department of Biochemistry and Molecular Biology, Louisiana State University Medical Center, Shreveport 71130.",Louisiana State University Medical Center,"1501 Kings Hwy, Shreveport, LA 71103, USA",C C Adams
10.1128/iai.58.11.3469-3476.1990,Hazen KC,K C,Hazen,Lyticase,2228219,"Division of Biological Sciences, University of Montana, Missoula 59812.",University of Montana,"Health Sciences, 32 Campus Dr, Missoula, MT 59812, USA",K C Hazen
10.1039/c8sc01130c,Jiang N,Nan,Jiang,Lyticase,29910923,"School of Engineering and Applied Sciences , Harvard University , Cambridge , Massachusetts 02138 , USA . Email: xyyang@seas.harvard.edu.",Harvard University,"29 Oxford St, Cambridge, MA 02138, USA",Nan Jiang
10.1093/jas/skab190,Duarte ME,Marcos Elias,Duarte,Glucanase,34125212,"Department of Animal Science, North Carolina State University, Raleigh, NC 27695, USA.",North Carolina State University,"Polk Hall, 120 W Broughton Dr, Raleigh, NC 27607, USA",Marcos Elias Duarte
10.1093/jas/skab190,Sparks C,Chris,Sparks,Glucanase,34125212,"Huvepharma, Inc., Peachtree City, GA, 30269, USA.",Unparsed,"525 Westpark Dr, Peachtree City, GA 30269, USA",Chris Sparks
10.1093/jas/skab190,Kim SW,Sung Woo,Kim,Glucanase,34125212,"Department of Animal Science, North Carolina State University, Raleigh, NC 27695, USA.",North Carolina State University,"Polk Hall, 120 W Broughton Dr, Raleigh, NC 27607, USA",Sung Woo Kim
10.1128/aem.01274-22,Adams MWW,Michael W. W.,Adams,Glucanase,36169328,"Department of Biochemistry and Molecular Biology, University of Georgia, Athens, Georgia, USA.",University of Georgia,"Life Sciences Bldg, B122, Athens, GA 30602, USA",Michael W. W. Adams
10.1016/j.psj.2023.102768,Anderson AG,A.G.,Anderson,Glucanase,37236039,"Department of Animal Sciences, University of Illinois at Urbana-Champaign, Urbana, IL 61801, USA.",University of Illinois at Urbana-Champaign,"1207 W Gregory Dr, Urbana, IL 61801, USA",A.G. Anderson
10.1016/j.psj.2023.102768,Parsons CM,C.M.,Parsons,Glucanase,37236039,"Department of Animal Sciences, University of Illinois at Urbana-Champaign, Urbana, IL 61801, USA. Electronic address: poultry@illinois.edu.",University of Illinois at Urbana-Champaign,"1207 W Gregory Dr, Urbana, IL 61801, USA",C.M. Parsons
10.1371/journal.ppat.1011578,Keyhani NO,Nemat O.,Keyhani,Glucanase,37556475,"Department of Biological Sciences, University of Illinois, Chicago, Illinois, United States of America.",University of Illinois,"845 W Taylor St, Chicago, IL 60607, USA",Nemat O. Keyhani
10.1038/s41598-023-47332-0,Capovilla G,Giovanna,Capovilla,Chitinase,37968300,"Department of Civil and Environmental Engineering, Massachusetts Institute of Technology, Cambridge, MA, USA. gio.capovilla@gmail.com.",Massachusetts Institute of Technology,"77 Massachusetts Avenue, 1-290, Cambridge, MA 02139, USA",Giovanna Capovilla
10.1038/s41598-023-47332-0,Castro KG,Kurt G.,Castro,Chitinase,37968300,"Department of Civil and Environmental Engineering, Massachusetts Institute of Technology, Cambridge, MA, USA.",Massachusetts Institute of Technology,"77 Massachusetts Avenue, 1-290, Cambridge, MA 02139, USA",Kurt G. Castro
