keyword,pubmedId,author_name,affiliation,institute,address
Lyticase,28346123,Meason-Smith C,"1 Department of Veterinary Pathobiology, College of Veterinary Medicine and Biomedical Sciences, Texas A&M University, College Station, TX, USA.",Texas A&M University,"Texas A&M University, Veterinary Medical Sciences Building, 400 Raymond Stotzer Pkwy #4467, College Station, TX 77843, USA"
Lyticase,28346123,Edwards EE,"1 Department of Veterinary Pathobiology, College of Veterinary Medicine and Biomedical Sciences, Texas A&M University, College Station, TX, USA.",Texas A&M University,"Texas A&M University, Veterinary Medical Sciences Building, 400 Raymond Stotzer Pkwy #4467, College Station, TX 77843, USA"
Lyticase,28346123,Older CE,"1 Department of Veterinary Pathobiology, College of Veterinary Medicine and Biomedical Sciences, Texas A&M University, College Station, TX, USA.",Texas A&M University,"Texas A&M University, Veterinary Medical Sciences Building, 400 Raymond Stotzer Pkwy #4467, College Station, TX 77843, USA"
Lyticase,28346123,Branco M,"1 Department of Veterinary Pathobiology, College of Veterinary Medicine and Biomedical Sciences, Texas A&M University, College Station, TX, USA.",Texas A&M University,"Texas A&M University, Veterinary Medical Sciences Building, 400 Raymond Stotzer Pkwy #4467, College Station, TX 77843, USA"
Lyticase,28346123,Bryan LK,"1 Department of Veterinary Pathobiology, College of Veterinary Medicine and Biomedical Sciences, Texas A&M University, College Station, TX, USA.",Texas A&M University,"Texas A&M University, Veterinary Medical Sciences Building, 400 Raymond Stotzer Pkwy #4467, College Station, TX 77843, USA"
Lyticase,28346123,Lawhon SD,"1 Department of Veterinary Pathobiology, College of Veterinary Medicine and Biomedical Sciences, Texas A&M University, College Station, TX, USA.",Texas A&M University,"Texas A&M University, Veterinary Medical Sciences Building, 400 Raymond Stotzer Pkwy #4467, College Station, TX 77843, USA"
Lyticase,28346123,Suchodolski JS,"2 Department of Small Animal Clinical Sciences, College of Veterinary Medicine and Biomedical Sciences, Texas A&M University, College Station, TX, USA.",Texas A&M University,"Veterinary & Biomedical Education Complex, 660 Raymond Stotzer Pkwy, College Station, TX 77843, USA"
Lyticase,28346123,Gomez G,"3 Texas A&M Veterinary Medical Diagnostic Laboratory, College Station, TX, USA.",College Station,"483 Agronomy Rd, College Station, TX 77843, USA"
Lyticase,28346123,Mansell J,"1 Department of Veterinary Pathobiology, College of Veterinary Medicine and Biomedical Sciences, Texas A&M University, College Station, TX, USA.",Texas A&M University,"Texas A&M University, Veterinary Medical Sciences Building, 400 Raymond Stotzer Pkwy #4467, College Station, TX 77843, USA"
Lyticase,28346123,Hoffmann AR,"1 Department of Veterinary Pathobiology, College of Veterinary Medicine and Biomedical Sciences, Texas A&M University, College Station, TX, USA.",Texas A&M University,"Texas A&M University, Veterinary Medical Sciences Building, 400 Raymond Stotzer Pkwy #4467, College Station, TX 77843, USA"
Lyticase,34162722,Zhang JH,"State Key Laboratory of Integrated Management of Pest Insects and Rodents, Institute of Zoology, Chinese Academy of Sciences, Beijing, China.",Institute of Zoology,"301, Physical Sciences, Stillwater, OK 74075, USA"
Lyticase,25753645,Cammue BP,"Centre of Microbial and Plant Genetics, CMPG, KU Leuven, Leuven, Belgium Department of Plant Systems Biology, VIB, Ghent, Belgium bruno.cammue@biw.kuleuven.be.",Unparsed,"145, Biomedical Biological Sciences Research Building, 741 S Limestone, Lexington, KY 40508, USA"
Lyticase,25753645,Thevissen K,"Centre of Microbial and Plant Genetics, CMPG, KU Leuven, Leuven, Belgium.",Unparsed,"1501 Kings Hwy, Shreveport, LA 71103, USA"
Lyticase,1938939,Adams CC,"Department of Biochemistry and Molecular Biology, Louisiana State University Medical Center, Shreveport 71130.",Louisiana State University Medical Center,"Health Sciences, 32 Campus Dr, Missoula, MT 59812, USA"
Lyticase,18287291,Elbaz W,"Department of Infectious Diseases, Royal Victoria Hospital, Belfast, Northern Ireland.",Unparsed,"29 Oxford St, Cambridge, MA 02138, USA"
Lyticase,18287291,McMullan R,"Department of Medical Microbiology, Royal Victoria Hospital, Belfast, Northern Ireland.",Unparsed,"900 Commonwealth Ave, Boston, MA 02115, USA"
Lyticase,29910923,Xiao YX,"State Key Laboratory of Advanced Technology for Materials Synthesis and Processing , Wuhan University of Technology , 122 Luoshi Road , Wuhan , 430070 , China . Email: xyyang@whut.edu.cn.",Wuhan University of Technology,"29 Oxford St, Cambridge, MA 02138, USA"
Glucanase,33247920,Jumyo S,"Major in Integrative Bioscience and Biomedical Engineering, Graduate School of Science and Engineering, Waseda University, Shinjuku-ku, Tokyo, Japan.",Waseda University,"Polk Hall, 120 W Broughton Dr, Raleigh, NC 27607, USA"
Glucanase,33247920,Hamaji Y,"Department of Biology, Faculty of Education and Integrated Arts and Sciences, Waseda University, Shinjuku-ku, Tokyo, Japan.",Waseda University,"525 Westpark Dr, Peachtree City, GA 30269, USA"
Glucanase,33247920,Ohyama T,"Department of Biology, Faculty of Education and Integrated Arts and Sciences, Waseda University, Shinjuku-ku, Tokyo, Japan.",Waseda University,"Polk Hall, 120 W Broughton Dr, Raleigh, NC 27607, USA"
Glucanase,27216084,Ritzenthaler C,"Institut de Biologie Moléculaire des Plantes du CNRS, Université de Strasbourg, 12 rue du Général Zimmer, Strasbourg, 67084, France.",Université de Strasbourg,"Life Sciences Bldg, B122, Athens, GA 30602, USA"
Glucanase,27216084,Merdinoglu D,"SVQV, INRA, Université de Strasbourg, Colmar, F-68000, France.",Université de Strasbourg,"1207 W Gregory Dr, Urbana, IL 61801, USA"
Glucanase,36169328,Laemthong T,"Department of Chemical and Biomolecular Engineering, North Carolina State Universitygrid.40803.3f, Raleigh, North Carolina, USA.",North Carolina State Universitygrid.40803.3f,"Champaign, IL, USA"
Glucanase,37679340,Zhang Y,"Ministry of Agriculture and Rural Affairs Key Laboratory for Crop Pest Monitoring and Green Control, China Agricultural University, Beijing, 100193, China.",China Agricultural University,"845 W Taylor St, Chicago, IL 60607, USA"
Chitinase,37367657,Chen W,"Shenzhen Raink Ecology & Environment Co., Ltd., Shenzhen 518102, China.",Unparsed,"77 Massachusetts Avenue, 1-290, Cambridge, MA 02139, USA"
Chitinase,37838809,da Silva DMG,"iBB-Institute for Bioengineering and Biosciences and i4HB-Institute for Health and Bioeconomy, Instituto Superior Técnico, Av. Rovisco Pais, 1049-001, Lisbon, Portugal.",iBB-Institute for Bioengineering and Biosciences and i4HB-Institute for Health and Bioeconomy,"77 Massachusetts Avenue, 1-290, Cambridge, MA 02139, USA"
