doi,author_name,given_name,family_name,keyword,pubmed_id,affiliation,institute,address
10.3390/microorganisms11040818,Codreanu SI,Smaranda Ioana,Codreanu,Lyticase,37110241,"Faculty of Medicine, ""George Emil Palade"" University of Medicine, Pharmacy, Sciences and Technology of Târgu Mures, 38 Gheorghe Marinescu Street, 540139 Târgu Mures, Romania.","""George Emil Palade"" University of Medicine","Strada Gheorghe Marinescu 38, Târgu Mureș 540139, Romania"
10.3390/microorganisms11040818,Ciurea CN,Cristina Nicoleta,Ciurea,Lyticase,37110241,"Department of Microbiology, Faculty of Medicine, ""George Emil Palade"" University of Medicine, Pharmacy, Sciences and Technology of Târgu Mures, 38 Gheorghe Marinescu Street, 540139 Târgu Mures, Romania.","""George Emil Palade"" University of Medicine","Strada Gheorghe Marinescu 38, Târgu Mureș 540139, Romania"
10.1128/spectrum.02589-21,Ruiz-Sorribas A,Albert,Ruiz-Sorribas,Lyticase,35196793,"Pharmacologie Cellulaire et Moléculaire, Louvain Drug Research Institute, Université catholique de Louvain, Brussels, Belgium.",Université catholique de Louvain,"Belgium, E. Mounierlaan 73, 1200 Sint-Lambrechts-Woluwe, Belgium"
10.1128/spectrum.02589-21,Poilvache H,Hervé,Poilvache,Lyticase,35196793,"Orthopaedic Surgery Department, Cliniques Universitaires Saint-Luc, Brussels, Belgium.",Cliniques Universitaires Saint-Luc,"Av. Hippocrate 10, 1200 Bruxelles, Belgium"
10.1128/spectrum.02589-21,Kamarudin NHN,Nur Hidayatul Nazirah,Kamarudin,Lyticase,35196793,"Department of Chemical and Process Engineering, Faculty of Engineering and Built Environment, Universiti Kebangsaan Malaysia, Bangi, Malaysia.",Universiti Kebangsaan Malaysia,"43600 Bangi, Selangor, Malaysia"
10.1128/spectrum.02589-21,Braem A,Annabel,Braem,Lyticase,35196793,"Department of Materials Engineering, Biomaterials and Tissue Engineering Research Group, KU Leuven, Leuven, Belgium.",Unparsed,"Oude Markt 13, 3000 Leuven, Belgium"
10.1128/spectrum.02589-21,Van Bambeke F,Françoise,Van Bambeke,Lyticase,35196793,"Pharmacologie Cellulaire et Moléculaire, Louvain Drug Research Institute, Université catholique de Louvain, Brussels, Belgium.",Université catholique de Louvain,"Belgium, E. Mounierlaan 73, 1200 Sint-Lambrechts-Woluwe, Belgium"
10.1177/0300985817698207,Meason-Smith C,Courtney,Meason-Smith,Lyticase,28346123,"1 Department of Veterinary Pathobiology, College of Veterinary Medicine and Biomedical Sciences, Texas A&M University, College Station, TX, USA.",Texas A&M University,"Texas A&M University, Veterinary Medical Sciences Building, 400 Raymond Stotzer Pkwy #4467, College Station, TX 77843, USA"
10.1177/0300985817698207,Edwards EE,Erin E.,Edwards,Lyticase,28346123,"1 Department of Veterinary Pathobiology, College of Veterinary Medicine and Biomedical Sciences, Texas A&M University, College Station, TX, USA.",Texas A&M University,"Texas A&M University, Veterinary Medical Sciences Building, 400 Raymond Stotzer Pkwy #4467, College Station, TX 77843, USA"
10.1177/0300985817698207,Older CE,Caitlin E.,Older,Lyticase,28346123,"1 Department of Veterinary Pathobiology, College of Veterinary Medicine and Biomedical Sciences, Texas A&M University, College Station, TX, USA.",Texas A&M University,"Texas A&M University, Veterinary Medical Sciences Building, 400 Raymond Stotzer Pkwy #4467, College Station, TX 77843, USA"
10.1177/0300985817698207,Branco M,Mackenzie,Branco,Lyticase,28346123,"1 Department of Veterinary Pathobiology, College of Veterinary Medicine and Biomedical Sciences, Texas A&M University, College Station, TX, USA.",Texas A&M University,"Texas A&M University, Veterinary Medical Sciences Building, 400 Raymond Stotzer Pkwy #4467, College Station, TX 77843, USA"
10.1177/0300985817698207,Bryan LK,Laura K.,Bryan,Lyticase,28346123,"1 Department of Veterinary Pathobiology, College of Veterinary Medicine and Biomedical Sciences, Texas A&M University, College Station, TX, USA.",Texas A&M University,"Texas A&M University, Veterinary Medical Sciences Building, 400 Raymond Stotzer Pkwy #4467, College Station, TX 77843, USA"
10.1177/0300985817698207,Lawhon SD,Sara D.,Lawhon,Lyticase,28346123,"1 Department of Veterinary Pathobiology, College of Veterinary Medicine and Biomedical Sciences, Texas A&M University, College Station, TX, USA.",Texas A&M University,"Texas A&M University, Veterinary Medical Sciences Building, 400 Raymond Stotzer Pkwy #4467, College Station, TX 77843, USA"
10.1177/0300985817698207,Suchodolski JS,Jan S.,Suchodolski,Lyticase,28346123,"2 Department of Small Animal Clinical Sciences, College of Veterinary Medicine and Biomedical Sciences, Texas A&M University, College Station, TX, USA.",Texas A&M University,"Veterinary & Biomedical Education Complex, 660 Raymond Stotzer Pkwy, College Station, TX 77843, USA"
10.1177/0300985817698207,Gomez G,Gabriel,Gomez,Lyticase,28346123,"3 Texas A&M Veterinary Medical Diagnostic Laboratory, College Station, TX, USA.",College Station,"483 Agronomy Rd, College Station, TX 77843, USA"
10.1177/0300985817698207,Mansell J,Joanne,Mansell,Lyticase,28346123,"1 Department of Veterinary Pathobiology, College of Veterinary Medicine and Biomedical Sciences, Texas A&M University, College Station, TX, USA.",Texas A&M University,"Texas A&M University, Veterinary Medical Sciences Building, 400 Raymond Stotzer Pkwy #4467, College Station, TX 77843, USA"
10.1177/0300985817698207,Hoffmann AR,Aline Rodrigues,Hoffmann,Lyticase,28346123,"1 Department of Veterinary Pathobiology, College of Veterinary Medicine and Biomedical Sciences, Texas A&M University, College Station, TX, USA.",Texas A&M University,"Texas A&M University, Veterinary Medical Sciences Building, 400 Raymond Stotzer Pkwy #4467, College Station, TX 77843, USA"
10.1002/etc.5445,Simon E,Eszter,Simon,,,,,
10.1002/etc.5445,Riegraf C,Carolin,Riegraf,Lyticase,35876436,"Swiss Centre for Applied Ecotoxicology, Dübendorf, Switzerland.",Unparsed,"Ueberlandstrasse 133, 8600 Dübendorf, Switzerland"
10.1002/etc.5445,Schifferli A,Andrea,Schifferli,Lyticase,35876436,"Swiss Centre for Applied Ecotoxicology, Dübendorf, Switzerland.",Unparsed,"Ueberlandstrasse 133, 8600 Dübendorf, Switzerland"
10.1002/etc.5445,Olbrich D,Daniel,Olbrich,Lyticase,35876436,"Swiss Centre for Applied Ecotoxicology, Dübendorf, Switzerland.",Unparsed,"Ueberlandstrasse 133, 8600 Dübendorf, Switzerland"
10.1002/etc.5445,Bucher T,Thomas,Bucher,,,,,
10.1002/etc.5445,Vermeirssen ELM,Etiënne L. M.,Vermeirssen,Lyticase,35876436,"Swiss Centre for Applied Ecotoxicology, Dübendorf, Switzerland.",Unparsed,"Ueberlandstrasse 133, 8600 Dübendorf, Switzerland"
10.4049/jimmunol.2000447,Meng Q,Qian,Meng,Lyticase,34162722,"State Key Laboratory of Integrated Management of Pest Insects and Rodents, Institute of Zoology, Chinese Academy of Sciences, Beijing, China.",Institute of Zoology,"China, Bei Jing Shi, Chao Yang Qu, Bei Chen Xi Lu, 华严里40 邮政编码: 100017"
10.4049/jimmunol.2000447,Wu P,Pei-Pei,Wu,,,,,
10.4049/jimmunol.2000447,Li M,Miao-Miao,Li,,,,,
10.4049/jimmunol.2000447,Shu R,Rui-Hao,Shu,,,,,
10.4049/jimmunol.2000447,Zhou G,Gui-Ling,Zhou,,,,,
10.4049/jimmunol.2000447,Zhang J,Ji-Hong,Zhang,,,,,
10.4049/jimmunol.2000447,Zhang H,Huan,Zhang,Lyticase,34162722,"State Key Laboratory of Integrated Management of Pest Insects and Rodents, Institute of Zoology, Chinese Academy of Sciences, Beijing, China.",Institute of Zoology,"China, Bei Jing Shi, Chao Yang Qu, Bei Chen Xi Lu, 华严里40 邮政编码: 100017"
10.4049/jimmunol.2000447,Jiang H,Haobo,Jiang,Lyticase,34162722,"Department of Entomology and Plant Pathology, Oklahoma State University, Stillwater, OK; and.",Oklahoma State University,"301, Physical Sciences, Stillwater, OK 74075, USA"
10.4049/jimmunol.2000447,Qin Q,Qi-Lian,Qin,,,,,
10.4049/jimmunol.2000447,Zou Z,Zhen,Zou,Lyticase,34162722,"Chinese Academy of Sciences Center for Excellence in Biotic Interactions, University of Chinese Academy of Sciences, Beijing, China.",University of Chinese Academy of Sciences,"52 San Li He Lu, Xi Cheng Qu, Bei Jing Shi, China, 100045"
10.1128/AAC.04650-14,De Brucker K,Katrijn,De Brucker,Lyticase,25753645,"Centre of Microbial and Plant Genetics, CMPG, KU Leuven, Leuven, Belgium.",Unparsed,"Kasteelpark Arenberg 31, 3001 Leuven, Belgium"
10.1128/AAC.04650-14,Tan Y,Yulong,Tan,Lyticase,25753645,"Centre of Microbial and Plant Genetics, CMPG, KU Leuven, Leuven, Belgium.",Unparsed,"Kasteelpark Arenberg 31, 3001 Leuven, Belgium"
10.1128/AAC.04650-14,Vints K,Katlijn,Vints,Lyticase,25753645,"Centre of Microbial and Plant Genetics, CMPG, KU Leuven, Leuven, Belgium.",Unparsed,"Kasteelpark Arenberg 31, 3001 Leuven, Belgium"
10.1128/AAC.04650-14,De Cremer K,Kaat,De Cremer,Lyticase,25753645,"Centre of Microbial and Plant Genetics, CMPG, KU Leuven, Leuven, Belgium Department of Plant Systems Biology, VIB, Ghent, Belgium.",Unparsed,"Kasteelpark Arenberg 31, 3001 Leuven, Belgium"
10.1128/AAC.04650-14,Braem A,Annabel,Braem,Lyticase,25753645,"Department of Materials Engineering, MTM, KU Leuven, Leuven, Belgium.",Unparsed,"Kasteelpark Arenberg 44/bus 2450, 3001 Leuven, Belgium"
10.1128/AAC.04650-14,Verstraeten N,Natalie,Verstraeten,Lyticase,25753645,"Centre of Microbial and Plant Genetics, CMPG, KU Leuven, Leuven, Belgium.",Unparsed,"Kasteelpark Arenberg 31, 3001 Leuven, Belgium"
10.1128/AAC.04650-14,Michiels J,Jan,Michiels,Lyticase,25753645,"Centre of Microbial and Plant Genetics, CMPG, KU Leuven, Leuven, Belgium.",Unparsed,"Kasteelpark Arenberg 31, 3001 Leuven, Belgium"
10.1128/AAC.04650-14,Vleugels J,Jef,Vleugels,Lyticase,25753645,"Department of Materials Engineering, MTM, KU Leuven, Leuven, Belgium.",Unparsed,"Kasteelpark Arenberg 44/bus 2450, 3001 Leuven, Belgium"
10.1128/AAC.04650-14,Cammue BPA,Bruno P. A.,Cammue,,,,,
10.1128/AAC.04650-14,Thevissen K,Karin,Thevissen,Lyticase,25753645,"Centre of Microbial and Plant Genetics, CMPG, KU Leuven, Leuven, Belgium.",Unparsed,"Kasteelpark Arenberg 31, 3001 Leuven, Belgium"
10.1128/jb.173.10.3101-3108.1991,Patton JL,J L,Patton,Lyticase,1827112,"Department of Biochemistry, University of Kentucky, Lexington 40536.",University of Kentucky,"145, Biomedical Biological Sciences Research Building, 741 S Limestone, Lexington, KY 40508, USA"
10.1128/jb.173.10.3101-3108.1991,Lester RL,R L,Lester,,,,,
10.1128/jb.173.23.7429-7435.1991,Adams CC,C C,Adams,Lyticase,1938939,"Department of Biochemistry and Molecular Biology, Louisiana State University Medical Center, Shreveport 71130.",Louisiana State University Medical Center,"1501 Kings Hwy, Shreveport, LA 71103, USA"
10.1128/jb.173.23.7429-7435.1991,Gross DS,D S,Gross,,,,,
10.1155/2013/268249,Vellanki RN,Ravi N.,Vellanki,Lyticase,24171161,"Centre for Biotechnology, Institute of Science and Technology, Jawaharlal Nehru Technological University, Kukatpally, Hyderabad, Andhra Pradesh 500085, India ; Ontario Cancer Institute, Princess Margaret Cancer Centre, 610 University Avenue, Toronto, ON, Canada M5G 2M9.",Jawaharlal Nehru Technological University,"Jawaharlal Nehru Technological University, Kukatpally, Hyderabad, Telangana 500085, India"
10.1155/2013/268249,Potumarthi R,Ravichandra,Potumarthi,,,,,
10.1155/2013/268249,Doddapaneni KK,Kiran K.,Doddapaneni,,,,,
10.1155/2013/268249,Anubrolu N,Naveen,Anubrolu,,,,,
10.1155/2013/268249,Mangamoori LN,Lakshmi N.,Mangamoori,,,,,
10.1128/iai.58.11.3469-3476.1990,Hazen KC,K C,Hazen,Lyticase,2228219,"Division of Biological Sciences, University of Montana, Missoula 59812.",University of Montana,"Health Sciences, 32 Campus Dr, Missoula, MT 59812, USA"
10.1128/iai.58.11.3469-3476.1990,Lay JG,J G,Lay,,,,,
10.1128/iai.58.11.3469-3476.1990,Hazen BW,B W,Hazen,,,,,
10.1128/iai.58.11.3469-3476.1990,Fu RC,R C,Fu,,,,,
10.1128/iai.58.11.3469-3476.1990,Murthy S,S,Murthy,,,,,
10.1128/iai.63.4.1253-1257.1995,Blasi E,E,Blasi,Lyticase,7890381,"Department of Experimental Medicine and Biochemical Sciences, University of Perugia, Italy.",University of Perugia,"Unnamed Road, 06132, 06132 Perugia PG, Italy"
10.1128/iai.63.4.1253-1257.1995,Pitzurra L,L,Pitzurra,,,,,
10.1128/iai.63.4.1253-1257.1995,Chimienti AR,A R,Chimienti,,,,,
10.1128/iai.63.4.1253-1257.1995,Mazzolla R,R,Mazzolla,,,,,
10.1128/iai.63.4.1253-1257.1995,Puliti M,M,Puliti,,,,,
10.1128/iai.63.4.1253-1257.1995,Barluzzi R,R,Barluzzi,,,,,
10.1128/iai.63.4.1253-1257.1995,Bistoni F,F,Bistoni,,,,,
10.14202/vetworld.2020.1030-1036,Sachivkina N,Nadezhda,Sachivkina,Lyticase,32801551,"Department of Microbiology and Virology, RUDN University, Miklukho Maklaya Street, 6, Moscow 117198, Russia.",RUDN University,"ul. Miklukho-Maklaya, 8, Moskva, Russia, 117198"
10.14202/vetworld.2020.1030-1036,Lenchenko E,Ekaterina,Lenchenko,Lyticase,32801551,"Department of Veterinary Medicine, Moscow State University of Food Production, Volokolamskoe Highway, 11, Moscow 125080, Russia.",Moscow State University of Food Production,"Volokolamskoye shosse, 11, Moskva, Russia, 125080"
10.14202/vetworld.2020.1030-1036,Blumenkrants D,Dmitri,Blumenkrants,Lyticase,32801551,"Department of Veterinary Medicine, Moscow State University of Food Production, Volokolamskoe Highway, 11, Moscow 125080, Russia.",Moscow State University of Food Production,"Volokolamskoye shosse, 11, Moskva, Russia, 125080"
10.14202/vetworld.2020.1030-1036,Ibragimova A,Alfia,Ibragimova,Lyticase,32801551,"Department of Foreign Languages, Agrarian Technological Institute, RUDN University, Miklukho Maklaya Street, 6, Moscow 117198, Russia.",RUDN University,"ul. Miklukho-Maklaya, 8, Moskva, Russia, 117198"
10.14202/vetworld.2020.1030-1036,Bazarkina O,Olga,Bazarkina,Lyticase,32801551,"Department of Management and Economy in Pharmacy, Medical Institute, RUDN University, Miklukho Maklaya Street, 6, Moscow 117198, Russia.",RUDN University,"ul. Miklukho-Maklaya, 8, Moskva, Russia, 117198"
10.2144/01305st05,Guével RL,R. Le,Guével,,,,,
10.2144/01305st05,Pakdel F,F.,Pakdel,,,,,
10.1590/s0100-879x2004001000003,Cavalheiro RA,R.A.,Cavalheiro,Lyticase,15448865,"Departamento de Patologia Clínica, Faculdade de Ciências Médicas, Universidade Estadual de Campinas, 13083-970 Campinas, SP, Brazil.",Universidade Estadual de Campinas,"R. Tessália Vieira de Camargo, 126 - Cidade Universitária, Campinas - SP, 13083-887, Brazil"
10.1590/s0100-879x2004001000003,Fortes F,F.,Fortes,,,,,
10.1590/s0100-879x2004001000003,Borecký J,J.,Borecký,,,,,
10.1590/s0100-879x2004001000003,Faustinoni VC,V.C.,Faustinoni,,,,,
10.1590/s0100-879x2004001000003,Schreiber AZ,A.Z.,Schreiber,,,,,
10.1099/jmm.0.46569-0,Al-Fattani MA,Mohammed A.,Al-Fattani,Lyticase,16849719,"Division of Infection and Immunity, Institute of Biomedical and Life Sciences, Joseph Black Building, University of Glasgow, Glasgow G12 8QQ, UK.",University of Glasgow,"Glasgow G12 8QQ, UK"
10.1099/jmm.0.46569-0,Douglas LJ,L. Julia,Douglas,Lyticase,16849719,"Division of Infection and Immunity, Institute of Biomedical and Life Sciences, Joseph Black Building, University of Glasgow, Glasgow G12 8QQ, UK.",University of Glasgow,"Glasgow G12 8QQ, UK"
10.1099/jmm.0.47617-0,Metwally L,L.,Metwally,Lyticase,18287291,"Department of Medical Microbiology, Royal Victoria Hospital, Belfast, Northern Ireland.",Unparsed,"274 Grosvenor Rd, Belfast BT12 6BA, UK"
10.1099/jmm.0.47617-0,Fairley DJ,D. J.,Fairley,Lyticase,18287291,"Department of Medical Microbiology, Royal Victoria Hospital, Belfast, Northern Ireland.",Unparsed,"274 Grosvenor Rd, Belfast BT12 6BA, UK"
