keyword,pubmedId,author_name,affiliation,institute,address
Lyticase,37110241,Codreanu SI,"Faculty of Medicine, ""George Emil Palade"" University of Medicine, Pharmacy, Sciences and Technology of Târgu Mures, 38 Gheorghe Marinescu Street, 540139 Târgu Mures, Romania.","""George Emil Palade"" University of Medicine","Strada Gheorghe Marinescu 38, Târgu Mureș 540139, Romania"
Lyticase,37110241,Ciurea CN,"Department of Microbiology, Faculty of Medicine, ""George Emil Palade"" University of Medicine, Pharmacy, Sciences and Technology of Târgu Mures, 38 Gheorghe Marinescu Street, 540139 Târgu Mures, Romania.","""George Emil Palade"" University of Medicine","Strada Gheorghe Marinescu 38, Târgu Mureș 540139, Romania"
Lyticase,35196793,Ruiz-Sorribas A,"Pharmacologie Cellulaire et Moléculaire, Louvain Drug Research Institute, Université catholique de Louvain, Brussels, Belgium.",Université catholique de Louvain,"Belgium, E. Mounierlaan 73, 1200 Sint-Lambrechts-Woluwe, Belgium"
Lyticase,35196793,Poilvache H,"Orthopaedic Surgery Department, Cliniques Universitaires Saint-Luc, Brussels, Belgium.",Cliniques Universitaires Saint-Luc,"Av. Hippocrate 10, 1200 Bruxelles, Belgium"
Lyticase,35196793,Kamarudin NHN,"Department of Chemical and Process Engineering, Faculty of Engineering and Built Environment, Universiti Kebangsaan Malaysia, Bangi, Malaysia.",Universiti Kebangsaan Malaysia,"43600 Bangi, Selangor, Malaysia"
Lyticase,35196793,Braem A,"Department of Materials Engineering, Biomaterials and Tissue Engineering Research Group, KU Leuven, Leuven, Belgium.",Unparsed,"Oude Markt 13, 3000 Leuven, Belgium"
Lyticase,35196793,Van Bambeke F,"Pharmacologie Cellulaire et Moléculaire, Louvain Drug Research Institute, Université catholique de Louvain, Brussels, Belgium.",Université catholique de Louvain,"Belgium, E. Mounierlaan 73, 1200 Sint-Lambrechts-Woluwe, Belgium"
Lyticase,28346123,Meason-Smith C,"1 Department of Veterinary Pathobiology, College of Veterinary Medicine and Biomedical Sciences, Texas A&M University, College Station, TX, USA.",Texas A&M University,"Texas A&M University, Veterinary Medical Sciences Building, 400 Raymond Stotzer Pkwy #4467, College Station, TX 77843, USA"
Lyticase,28346123,Edwards EE,"1 Department of Veterinary Pathobiology, College of Veterinary Medicine and Biomedical Sciences, Texas A&M University, College Station, TX, USA.",Texas A&M University,"Texas A&M University, Veterinary Medical Sciences Building, 400 Raymond Stotzer Pkwy #4467, College Station, TX 77843, USA"
Lyticase,28346123,Older CE,"1 Department of Veterinary Pathobiology, College of Veterinary Medicine and Biomedical Sciences, Texas A&M University, College Station, TX, USA.",Texas A&M University,"Texas A&M University, Veterinary Medical Sciences Building, 400 Raymond Stotzer Pkwy #4467, College Station, TX 77843, USA"
Lyticase,28346123,Branco M,"1 Department of Veterinary Pathobiology, College of Veterinary Medicine and Biomedical Sciences, Texas A&M University, College Station, TX, USA.",Texas A&M University,"Texas A&M University, Veterinary Medical Sciences Building, 400 Raymond Stotzer Pkwy #4467, College Station, TX 77843, USA"
Lyticase,28346123,Bryan LK,"1 Department of Veterinary Pathobiology, College of Veterinary Medicine and Biomedical Sciences, Texas A&M University, College Station, TX, USA.",Texas A&M University,"Texas A&M University, Veterinary Medical Sciences Building, 400 Raymond Stotzer Pkwy #4467, College Station, TX 77843, USA"
Lyticase,28346123,Lawhon SD,"1 Department of Veterinary Pathobiology, College of Veterinary Medicine and Biomedical Sciences, Texas A&M University, College Station, TX, USA.",Texas A&M University,"Texas A&M University, Veterinary Medical Sciences Building, 400 Raymond Stotzer Pkwy #4467, College Station, TX 77843, USA"
Lyticase,28346123,Suchodolski JS,"2 Department of Small Animal Clinical Sciences, College of Veterinary Medicine and Biomedical Sciences, Texas A&M University, College Station, TX, USA.",Texas A&M University,"Veterinary & Biomedical Education Complex, 660 Raymond Stotzer Pkwy, College Station, TX 77843, USA"
Lyticase,28346123,Gomez G,"3 Texas A&M Veterinary Medical Diagnostic Laboratory, College Station, TX, USA.",College Station,"483 Agronomy Rd, College Station, TX 77843, USA"
Lyticase,28346123,Mansell J,"1 Department of Veterinary Pathobiology, College of Veterinary Medicine and Biomedical Sciences, Texas A&M University, College Station, TX, USA.",Texas A&M University,"Texas A&M University, Veterinary Medical Sciences Building, 400 Raymond Stotzer Pkwy #4467, College Station, TX 77843, USA"
Lyticase,28346123,Hoffmann AR,"1 Department of Veterinary Pathobiology, College of Veterinary Medicine and Biomedical Sciences, Texas A&M University, College Station, TX, USA.",Texas A&M University,"Texas A&M University, Veterinary Medical Sciences Building, 400 Raymond Stotzer Pkwy #4467, College Station, TX 77843, USA"
Lyticase,35876436,Riegraf C,"Swiss Centre for Applied Ecotoxicology, Dübendorf, Switzerland.",Unparsed,"Ueberlandstrasse 133, 8600 Dübendorf, Switzerland"
