keyword,pubmedId,author_name,affiliation,institute,address
Lyticase,28346123,Meason-Smith C,"1 Department of Veterinary Pathobiology, College of Veterinary Medicine and Biomedical Sciences, Texas A&M University, College Station, TX, USA.",Texas A&M University,"Texas A&M University, Veterinary Medical Sciences Building, 400 Raymond Stotzer Pkwy #4467, College Station, TX 77843, USA"
Lyticase,28346123,Edwards EE,"1 Department of Veterinary Pathobiology, College of Veterinary Medicine and Biomedical Sciences, Texas A&M University, College Station, TX, USA.",Texas A&M University,"Texas A&M University, Veterinary Medical Sciences Building, 400 Raymond Stotzer Pkwy #4467, College Station, TX 77843, USA"
Lyticase,28346123,Older CE,"1 Department of Veterinary Pathobiology, College of Veterinary Medicine and Biomedical Sciences, Texas A&M University, College Station, TX, USA.",Texas A&M University,"Texas A&M University, Veterinary Medical Sciences Building, 400 Raymond Stotzer Pkwy #4467, College Station, TX 77843, USA"
Lyticase,28346123,Branco M,"1 Department of Veterinary Pathobiology, College of Veterinary Medicine and Biomedical Sciences, Texas A&M University, College Station, TX, USA.",Texas A&M University,"Texas A&M University, Veterinary Medical Sciences Building, 400 Raymond Stotzer Pkwy #4467, College Station, TX 77843, USA"
Lyticase,28346123,Bryan LK,"1 Department of Veterinary Pathobiology, College of Veterinary Medicine and Biomedical Sciences, Texas A&M University, College Station, TX, USA.",Texas A&M University,"Texas A&M University, Veterinary Medical Sciences Building, 400 Raymond Stotzer Pkwy #4467, College Station, TX 77843, USA"
Lyticase,28346123,Lawhon SD,"1 Department of Veterinary Pathobiology, College of Veterinary Medicine and Biomedical Sciences, Texas A&M University, College Station, TX, USA.",Texas A&M University,"Texas A&M University, Veterinary Medical Sciences Building, 400 Raymond Stotzer Pkwy #4467, College Station, TX 77843, USA"
Lyticase,28346123,Suchodolski JS,"2 Department of Small Animal Clinical Sciences, College of Veterinary Medicine and Biomedical Sciences, Texas A&M University, College Station, TX, USA.",Texas A&M University,"Veterinary & Biomedical Education Complex, 660 Raymond Stotzer Pkwy, College Station, TX 77843, USA"
Lyticase,28346123,Gomez G,"3 Texas A&M Veterinary Medical Diagnostic Laboratory, College Station, TX, USA.",College Station,"483 Agronomy Rd, College Station, TX 77843, USA"
Lyticase,28346123,Mansell J,"1 Department of Veterinary Pathobiology, College of Veterinary Medicine and Biomedical Sciences, Texas A&M University, College Station, TX, USA.",Texas A&M University,"Texas A&M University, Veterinary Medical Sciences Building, 400 Raymond Stotzer Pkwy #4467, College Station, TX 77843, USA"
Lyticase,28346123,Hoffmann AR,"1 Department of Veterinary Pathobiology, College of Veterinary Medicine and Biomedical Sciences, Texas A&M University, College Station, TX, USA.",Texas A&M University,"Texas A&M University, Veterinary Medical Sciences Building, 400 Raymond Stotzer Pkwy #4467, College Station, TX 77843, USA"
Lyticase,34162722,Jiang H,"Department of Entomology and Plant Pathology, Oklahoma State University, Stillwater, OK; and.",Oklahoma State University,"301, Physical Sciences, Stillwater, OK 74075, USA"
Lyticase,1827112,Patton JL,"Department of Biochemistry, University of Kentucky, Lexington 40536.",University of Kentucky,"145, Biomedical Biological Sciences Research Building, 741 S Limestone, Lexington, KY 40508, USA"
Lyticase,1938939,Adams CC,"Department of Biochemistry and Molecular Biology, Louisiana State University Medical Center, Shreveport 71130.",Louisiana State University Medical Center,"1501 Kings Hwy, Shreveport, LA 71103, USA"
Lyticase,2228219,Hazen KC,"Division of Biological Sciences, University of Montana, Missoula 59812.",University of Montana,"Health Sciences, 32 Campus Dr, Missoula, MT 59812, USA"
Lyticase,29910923,Jiang N,"School of Engineering and Applied Sciences , Harvard University , Cambridge , Massachusetts 02138 , USA . Email: xyyang@seas.harvard.edu.",Harvard University,"29 Oxford St, Cambridge, MA 02138, USA"
Lyticase,29910923,Ying GL,"Division of Engineering in Medicine , Brigham and Women's Hospital , Harvard Medical School , Cambridge , Massachusetts 02139 , USA.",Harvard Medical School,"900 Commonwealth Ave, Boston, MA 02115, USA"
Lyticase,29910923,Yang XY,"School of Engineering and Applied Sciences , Harvard University , Cambridge , Massachusetts 02138 , USA . Email: xyyang@seas.harvard.edu.",Harvard University,"29 Oxford St, Cambridge, MA 02138, USA"
Glucanase,34125212,Duarte ME,"Department of Animal Science, North Carolina State University, Raleigh, NC 27695, USA.",North Carolina State University,"Polk Hall, 120 W Broughton Dr, Raleigh, NC 27607, USA"
Glucanase,34125212,Sparks C,"Huvepharma, Inc., Peachtree City, GA, 30269, USA.",Unparsed,"525 Westpark Dr, Peachtree City, GA 30269, USA"
Glucanase,34125212,Kim SW,"Department of Animal Science, North Carolina State University, Raleigh, NC 27695, USA.",North Carolina State University,"Polk Hall, 120 W Broughton Dr, Raleigh, NC 27607, USA"
Glucanase,36169328,Adams MWW,"Department of Biochemistry and Molecular Biology, University of Georgia, Athens, Georgia, USA.",University of Georgia,"Life Sciences Bldg, B122, Athens, GA 30602, USA"
Glucanase,37236039,Anderson AG,"Department of Animal Sciences, University of Illinois at Urbana-Champaign, Urbana, IL 61801, USA.",University of Illinois at Urbana-Champaign,"1207 W Gregory Dr, Urbana, IL 61801, USA"
Glucanase,37236039,Parsons CM,"Department of Animal Sciences, University of Illinois at Urbana-Champaign, Urbana, IL 61801, USA. Electronic address: poultry@illinois.edu.",University of Illinois at Urbana-Champaign,"1207 W Gregory Dr, Urbana, IL 61801, USA"
Glucanase,37556475,Keyhani NO,"Department of Biological Sciences, University of Illinois, Chicago, Illinois, United States of America.",University of Illinois,"845 W Taylor St, Chicago, IL 60607, USA"
Chitinase,37968300,Capovilla G,"Department of Civil and Environmental Engineering, Massachusetts Institute of Technology, Cambridge, MA, USA. gio.capovilla@gmail.com.",Massachusetts Institute of Technology,"77 Massachusetts Avenue, 1-290, Cambridge, MA 02139, USA"
Chitinase,37968300,Castro KG,"Department of Civil and Environmental Engineering, Massachusetts Institute of Technology, Cambridge, MA, USA.",Massachusetts Institute of Technology,"77 Massachusetts Avenue, 1-290, Cambridge, MA 02139, USA"
Chitinase,37968300,Kearney SM,"Department of Civil and Environmental Engineering, Massachusetts Institute of Technology, Cambridge, MA, USA.",Massachusetts Institute of Technology,"77 Massachusetts Avenue, 1-290, Cambridge, MA 02139, USA"
Chitinase,37968300,Kehoe DM,"Department of Biology, Indiana University, Bloomington, IN, USA.",Indiana University,"1001 E 3rd St, Bloomington, IN 47405, USA"
Chitinase,37968300,Chisholm SW,"Department of Biology, Massachusetts Institute of Technology, Cambridge, MA, USA. chisholm@mit.edu.",Massachusetts Institute of Technology,"32 Vassar St, Cambridge, MA 02139, USA"
