doi,author_name,given_name,family_name
10.3390/microorganisms11040818,Codreanu SI,Smaranda Ioana,Codreanu
10.3390/microorganisms11040818,Ciurea CN,Cristina Nicoleta,Ciurea
10.3390/microorganisms11040818,Codreanu SI,Smaranda Ioana,Codreanu
10.3390/microorganisms11040818,Ciurea CN,Cristina Nicoleta,Ciurea
10.1128/spectrum.02589-21,Ruiz-Sorribas A,Albert,Ruiz-Sorribas
10.1128/spectrum.02589-21,Poilvache H,Hervé,Poilvache
10.1128/spectrum.02589-21,Kamarudin NHN,Nur Hidayatul Nazirah,Kamarudin
10.1128/spectrum.02589-21,Braem A,Annabel,Braem
10.1128/spectrum.02589-21,Van Bambeke F,Françoise,Van Bambeke
10.1128/spectrum.02589-21,Ruiz-Sorribas A,Albert,Ruiz-Sorribas
10.1128/spectrum.02589-21,Poilvache H,Hervé,Poilvache
10.1128/spectrum.02589-21,Kamarudin NHN,Nur Hidayatul Nazirah,Kamarudin
10.1128/spectrum.02589-21,Braem A,Annabel,Braem
10.1128/spectrum.02589-21,Van Bambeke F,Françoise,Van Bambeke
10.1128/spectrum.02589-21,Ruiz-Sorribas A,Albert,Ruiz-Sorribas
10.1128/spectrum.02589-21,Poilvache H,Hervé,Poilvache
10.1128/spectrum.02589-21,Kamarudin NHN,Nur Hidayatul Nazirah,Kamarudin
10.1128/spectrum.02589-21,Braem A,Annabel,Braem
10.1128/spectrum.02589-21,Van Bambeke F,Françoise,Van Bambeke
10.1128/spectrum.02589-21,Ruiz-Sorribas A,Albert,Ruiz-Sorribas
10.1128/spectrum.02589-21,Poilvache H,Hervé,Poilvache
10.1128/spectrum.02589-21,Kamarudin NHN,Nur Hidayatul Nazirah,Kamarudin
10.1128/spectrum.02589-21,Braem A,Annabel,Braem
10.1128/spectrum.02589-21,Van Bambeke F,Françoise,Van Bambeke
10.1128/spectrum.02589-21,Ruiz-Sorribas A,Albert,Ruiz-Sorribas
10.1128/spectrum.02589-21,Poilvache H,Hervé,Poilvache
10.1128/spectrum.02589-21,Kamarudin NHN,Nur Hidayatul Nazirah,Kamarudin
10.1128/spectrum.02589-21,Braem A,Annabel,Braem
10.1128/spectrum.02589-21,Van Bambeke F,Françoise,Van Bambeke
10.1177/0300985817698207,Meason-Smith C,Courtney,Meason-Smith
10.1177/0300985817698207,Edwards EE,Erin E.,Edwards
10.1177/0300985817698207,Older CE,Caitlin E.,Older
10.1177/0300985817698207,Branco M,Mackenzie,Branco
10.1177/0300985817698207,Bryan LK,Laura K.,Bryan
10.1177/0300985817698207,Lawhon SD,Sara D.,Lawhon
10.1177/0300985817698207,Suchodolski JS,Jan S.,Suchodolski
10.1177/0300985817698207,Gomez G,Gabriel,Gomez
10.1177/0300985817698207,Mansell J,Joanne,Mansell
10.1177/0300985817698207,Hoffmann AR,Aline Rodrigues,Hoffmann
10.1177/0300985817698207,Meason-Smith C,Courtney,Meason-Smith
10.1177/0300985817698207,Edwards EE,Erin E.,Edwards
10.1177/0300985817698207,Older CE,Caitlin E.,Older
10.1177/0300985817698207,Branco M,Mackenzie,Branco
10.1177/0300985817698207,Bryan LK,Laura K.,Bryan
10.1177/0300985817698207,Lawhon SD,Sara D.,Lawhon
10.1177/0300985817698207,Suchodolski JS,Jan S.,Suchodolski
10.1177/0300985817698207,Gomez G,Gabriel,Gomez
10.1177/0300985817698207,Mansell J,Joanne,Mansell
10.1177/0300985817698207,Hoffmann AR,Aline Rodrigues,Hoffmann
10.1177/0300985817698207,Meason-Smith C,Courtney,Meason-Smith
10.1177/0300985817698207,Edwards EE,Erin E.,Edwards
10.1177/0300985817698207,Older CE,Caitlin E.,Older
10.1177/0300985817698207,Branco M,Mackenzie,Branco
10.1177/0300985817698207,Bryan LK,Laura K.,Bryan
10.1177/0300985817698207,Lawhon SD,Sara D.,Lawhon
10.1177/0300985817698207,Suchodolski JS,Jan S.,Suchodolski
10.1177/0300985817698207,Gomez G,Gabriel,Gomez
10.1177/0300985817698207,Mansell J,Joanne,Mansell
10.1177/0300985817698207,Hoffmann AR,Aline Rodrigues,Hoffmann
10.1177/0300985817698207,Meason-Smith C,Courtney,Meason-Smith
