affiliation,institute,address
"Faculty of Medicine, ""George Emil Palade"" University of Medicine, Pharmacy, Sciences and Technology of Târgu Mures, 38 Gheorghe Marinescu Street, 540139 Târgu Mures, Romania","""George Emil Palade"" University of Medicine","Strada Gheorghe Marinescu 38, Târgu Mureș 540139, Romania"
"Department of Microbiology, Faculty of Medicine, ""George Emil Palade"" University of Medicine, Pharmacy, Sciences and Technology of Târgu Mures, 38 Gheorghe Marinescu Street, 540139 Târgu Mures, Romania","""George Emil Palade"" University of Medicine","Strada Gheorghe Marinescu 38, Târgu Mureș 540139, Romania"
"Pharmacologie Cellulaire et Moléculaire, Louvain Drug Research Institute, Université catholique de Louvain, Brussels, Belgium",Université catholique de Louvain,"Belgium, E. Mounierlaan 73, 1200 Sint-Lambrechts-Woluwe, Belgium"
"Orthopaedic Surgery Department, Cliniques Universitaires Saint-Luc, Brussels, Belgium",Cliniques Universitaires Saint-Luc,"Av. Hippocrate 10, 1200 Bruxelles, Belgium"
"Department of Chemical and Process Engineering, Faculty of Engineering and Built Environment, Universiti Kebangsaan Malaysia, Bangi, Malaysia",Universiti Kebangsaan Malaysia,"43600 Bangi, Selangor, Malaysia"
"Department of Materials Engineering, Biomaterials and Tissue Engineering Research Group, KU Leuven, Leuven, Belgium",Unparsed,"Oude Markt 13, 3000 Leuven, Belgium"
"1 Department of Veterinary Pathobiology, College of Veterinary Medicine and Biomedical Sciences, Texas A&M University, College Station, TX, USA",Texas A&M University,"Texas A&M University, Veterinary Medical Sciences Building, 400 Raymond Stotzer Pkwy #4467, College Station, TX 77843, USA"
"2 Department of Small Animal Clinical Sciences, College of Veterinary Medicine and Biomedical Sciences, Texas A&M University, College Station, TX, USA",Texas A&M University,"Veterinary & Biomedical Education Complex, 660 Raymond Stotzer Pkwy, College Station, TX 77843, USA"
"3 Texas A&M Veterinary Medical Diagnostic Laboratory, College Station, TX, USA",College Station,"483 Agronomy Rd, College Station, TX 77843, USA"
"Swiss Centre for Applied Ecotoxicology, Dübendorf, Switzerland",Unparsed,"Ueberlandstrasse 133, 8600 Dübendorf, Switzerland"
"State Key Laboratory of Integrated Management of Pest Insects and Rodents, Institute of Zoology, Chinese Academy of Sciences, Beijing, China",Institute of Zoology,"China, Bei Jing Shi, Chao Yang Qu, Bei Chen Xi Lu, 华严里40 邮政编码: 100017"
"College of Life Sciences, University of Chinese Academy of Sciences, Beijing, China",University of Chinese Academy of Sciences,"Huairou District, China, 101408"
"Department of Entomology and Plant Pathology, Oklahoma State University, Stillwater, OK; and",Oklahoma State University,"301, Physical Sciences, Stillwater, OK 74075, USA"
"State Key Laboratory of Integrated Management of Pest Insects and Rodents, Institute of Zoology, Chinese Academy of Sciences, Beijing, China; qinql@iozaccn zouzhen@iozaccn",Institute of Zoology,"China, Bei Jing Shi, Chao Yang Qu, Bei Chen Xi Lu, 华严里40 邮政编码: 100017"
"Chinese Academy of Sciences Center for Excellence in Biotic Interactions, University of Chinese Academy of Sciences, Beijing, China",University of Chinese Academy of Sciences,"52 San Li He Lu, Xi Cheng Qu, Bei Jing Shi, China, 100045"
"Centre of Microbial and Plant Genetics, CMPG, KU Leuven, Leuven, Belgium",Unparsed,"Kasteelpark Arenberg 31, 3001 Leuven, Belgium"
"Centre of Microbial and Plant Genetics, CMPG, KU Leuven, Leuven, Belgium Department of Plant Systems Biology, VIB, Ghent, Belgium",Unparsed,"Kasteelpark Arenberg 31, 3001 Leuven, Belgium"
"Department of Materials Engineering, MTM, KU Leuven, Leuven, Belgium",Unparsed,"Kasteelpark Arenberg 44/bus 2450, 3001 Leuven, Belgium"
"Department of Biochemistry, University of Kentucky, Lexington 40536",University of Kentucky,"145, Biomedical Biological Sciences Research Building, 741 S Limestone, Lexington, KY 40508, USA"
"Department of Biochemistry and Molecular Biology, Louisiana State University Medical Center, Shreveport 71130",Louisiana State University Medical Center,"1501 Kings Hwy, Shreveport, LA 71103, USA"
"Centre for Biotechnology, Institute of Science and Technology, Jawaharlal Nehru Technological University, Kukatpally, Hyderabad, Andhra Pradesh 500085, India ; Ontario Cancer Institute, Princess Margaret Cancer Centre, 610 University Avenue, Toronto, ON, Canada M5G 2M9",Jawaharlal Nehru Technological University,"Jawaharlal Nehru Technological University, Kukatpally, Hyderabad, Telangana 500085, India"
"Division of Biological Sciences, University of Montana, Missoula 59812",University of Montana,"Health Sciences, 32 Campus Dr, Missoula, MT 59812, USA"
"Department of Experimental Medicine and Biochemical Sciences, University of Perugia, Italy",University of Perugia,"Piazzale Settimio Gambuli, 1, 06129 Perugia PG, Italy"
"Department of Microbiology and Virology, RUDN University, Miklukho Maklaya Street, 6, Moscow 117198, Russia",RUDN University,"ul. Miklukho-Maklaya, 6, Moskva, Russia, 117198"
"Department of Veterinary Medicine, Moscow State University of Food Production, Volokolamskoe Highway, 11, Moscow 125080, Russia",Moscow State University of Food Production,"Volokolamskoye shosse, 11, Moskva, Russia, 125080"
"Department of Foreign Languages, Agrarian Technological Institute, RUDN University, Miklukho Maklaya Street, 6, Moscow 117198, Russia",RUDN University,"ul. Miklukho-Maklaya, 6, Moskva, Russia, 117198"
