keyword,pubmedId,articleTitle,author_name,affiliation,institute,address
Lyticase,28346123,Panfungal Polymerase Chain Reaction for Identification of Fungal Pathogens in Formalin-Fixed Animal Tissues,Meason-Smith C,"1 Department of Veterinary Pathobiology, College of Veterinary Medicine and Biomedical Sciences, Texas A&M University, College Station, TX, USA.",Texas A&M University,"Texas A&M University, Veterinary Medical Sciences Building, 400 Raymond Stotzer Pkwy #4467, College Station, TX 77843, USA"
Lyticase,28346123,Panfungal Polymerase Chain Reaction for Identification of Fungal Pathogens in Formalin-Fixed Animal Tissues,Edwards EE,"1 Department of Veterinary Pathobiology, College of Veterinary Medicine and Biomedical Sciences, Texas A&M University, College Station, TX, USA.",Texas A&M University,"Texas A&M University, Veterinary Medical Sciences Building, 400 Raymond Stotzer Pkwy #4467, College Station, TX 77843, USA"
Lyticase,28346123,Panfungal Polymerase Chain Reaction for Identification of Fungal Pathogens in Formalin-Fixed Animal Tissues,Older CE,"1 Department of Veterinary Pathobiology, College of Veterinary Medicine and Biomedical Sciences, Texas A&M University, College Station, TX, USA.",Texas A&M University,"Texas A&M University, Veterinary Medical Sciences Building, 400 Raymond Stotzer Pkwy #4467, College Station, TX 77843, USA"
Lyticase,28346123,Panfungal Polymerase Chain Reaction for Identification of Fungal Pathogens in Formalin-Fixed Animal Tissues,Branco M,"1 Department of Veterinary Pathobiology, College of Veterinary Medicine and Biomedical Sciences, Texas A&M University, College Station, TX, USA.",Texas A&M University,"Texas A&M University, Veterinary Medical Sciences Building, 400 Raymond Stotzer Pkwy #4467, College Station, TX 77843, USA"
Lyticase,28346123,Panfungal Polymerase Chain Reaction for Identification of Fungal Pathogens in Formalin-Fixed Animal Tissues,Bryan LK,"1 Department of Veterinary Pathobiology, College of Veterinary Medicine and Biomedical Sciences, Texas A&M University, College Station, TX, USA.",Texas A&M University,"Texas A&M University, Veterinary Medical Sciences Building, 400 Raymond Stotzer Pkwy #4467, College Station, TX 77843, USA"
Lyticase,28346123,Panfungal Polymerase Chain Reaction for Identification of Fungal Pathogens in Formalin-Fixed Animal Tissues,Lawhon SD,"1 Department of Veterinary Pathobiology, College of Veterinary Medicine and Biomedical Sciences, Texas A&M University, College Station, TX, USA.",Texas A&M University,"Texas A&M University, Veterinary Medical Sciences Building, 400 Raymond Stotzer Pkwy #4467, College Station, TX 77843, USA"
Lyticase,28346123,Panfungal Polymerase Chain Reaction for Identification of Fungal Pathogens in Formalin-Fixed Animal Tissues,Suchodolski JS,"2 Department of Small Animal Clinical Sciences, College of Veterinary Medicine and Biomedical Sciences, Texas A&M University, College Station, TX, USA.",Texas A&M University,"Veterinary & Biomedical Education Complex, 660 Raymond Stotzer Pkwy, College Station, TX 77843, USA"
Lyticase,28346123,Panfungal Polymerase Chain Reaction for Identification of Fungal Pathogens in Formalin-Fixed Animal Tissues,Gomez G,"3 Texas A&M Veterinary Medical Diagnostic Laboratory, College Station, TX, USA.",College Station,"483 Agronomy Rd, College Station, TX 77843, USA"
Lyticase,28346123,Panfungal Polymerase Chain Reaction for Identification of Fungal Pathogens in Formalin-Fixed Animal Tissues,Mansell J,"1 Department of Veterinary Pathobiology, College of Veterinary Medicine and Biomedical Sciences, Texas A&M University, College Station, TX, USA.",Texas A&M University,"Texas A&M University, Veterinary Medical Sciences Building, 400 Raymond Stotzer Pkwy #4467, College Station, TX 77843, USA"
Lyticase,28346123,Panfungal Polymerase Chain Reaction for Identification of Fungal Pathogens in Formalin-Fixed Animal Tissues,Hoffmann AR,"1 Department of Veterinary Pathobiology, College of Veterinary Medicine and Biomedical Sciences, Texas A&M University, College Station, TX, USA.",Texas A&M University,"Texas A&M University, Veterinary Medical Sciences Building, 400 Raymond Stotzer Pkwy #4467, College Station, TX 77843, USA"
Lyticase,34162722,Distinct Responses of ,Jiang H,"Department of Entomology and Plant Pathology, Oklahoma State University, Stillwater, OK; and.",Oklahoma State University,"301, Physical Sciences, Stillwater, OK 74075, USA"
Lyticase,1827112,The phosphoinositol sphingolipids of Saccharomyces cerevisiae are highly localized in the plasma membrane,Patton JL,"Department of Biochemistry, University of Kentucky, Lexington 40536.",University of Kentucky,"145, Biomedical Biological Sciences Research Building, 741 S Limestone, Lexington, KY 40508, USA"
Lyticase,1938939,The yeast heat shock response is induced by conversion of cells to spheroplasts and by potent transcriptional inhibitors,Adams CC,"Department of Biochemistry and Molecular Biology, Louisiana State University Medical Center, Shreveport 71130.",Louisiana State University Medical Center,"1501 Kings Hwy, Shreveport, LA 71103, USA"
