,name,affiliations,email,website,interests,thumbnail
0,Denis Rebrikov,DNA-Technology,Verified email at vigg.ru,http://vigg.ru/,"[{'title': 'PCR', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:pcr', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Apcr'}, {'title': 'NGS', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:ngs', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Angs'}]",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=twFCEfkAAAAJ&citpid=2
1,Yong-Joon Cho,Kangwon National University,Verified email at kangwon.ac.kr,,,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=09_QI3AAAAAJ&citpid=2
2,Sungho Won,Seoul National University,Verified email at snu.ac.kr,http://healthstat.snu.ac.kr/swon,"[{'title': 'Biostatistics', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:biostatistics', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Abiostatistics'}, {'title': 'Bioinformatics', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:bioinformatics', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Abioinformatics'}]",https://scholar.google.com/citations/images/avatar_scholar_128.png
3,Denis Rebrikov,DNA-Technology,Verified email at vigg.ru,http://vigg.ru/,"[{'title': 'PCR', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:pcr', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Apcr'}, {'title': 'NGS', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:ngs', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Angs'}]",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=twFCEfkAAAAJ&citpid=2
4,Ghazala Ashraf,"Postdoc at Huazhong University of Science and technology, Wuhan, China",Verified email at hust.edu.cn,https://www.researchgate.net/profile/Ghazala-Ashraf,"[{'title': 'Material Chemistry', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:material_chemistry', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Amaterial_chemistry'}, {'title': 'Bio-Sensing', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:bio_sensing', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Abio_sensing'}, {'title': 'Electrochemistry', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:electrochemistry', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Aelectrochemistry'}, {'title': 'Fluorescent methods', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:fluorescent_methods', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Afluorescent_methods'}, {'title': 'nanomaterial based sensor and bio sensors for early dise', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:nanomaterial_based_sensor_and_bio_sensors_for_early_dise', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Ananomaterial_based_sensor_and_bio_sensors_for_early_dise'}]",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=dHWiE1UAAAAJ&citpid=2
5,Dr. Muhammad Asif,Associate Professor at Shanxi University,Verified email at sxu.edu.cn,http://hxhgxy.sxu.edu.cn/szdw/jsjj/fjs1/af87aacd6a5a4d1fbf76c40143830dc5.html,"[{'title': 'Functional nanomaterials', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:functional_nanomaterials', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Afunctional_nanomaterials'}, {'title': 'Electrochemistry', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:electrochemistry', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Aelectrochemistry'}, {'title': '(Bio)sensors', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:bio_sensors', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Abio_sensors'}, {'title': 'Biomarker detection', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:biomarker_detection', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Abiomarker_detection'}, {'title': 'Early diseases', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:early_diseases', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Aearly_diseases'}]",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=aM-A-8gAAAAJ&citpid=2
6,AYESHA AZIZ,"Associate Professor at Shanxi University, Taiyuan, China",Verified email at sxu.edu.cn,,"[{'title': 'Electrochemical sensing', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:electrochemical_sensing', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Aelectrochemical_sensing'}, {'title': 'bacterial sensing', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:bacterial_sensing', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Abacterial_sensing'}, {'title': 'biomarker detection', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:biomarker_detection', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Abiomarker_detection'}]",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=5-2V-OIAAAAJ&citpid=3
7,Fan Yang,Hubei University of Chinese Medicine,Verified email at hbtcm.edu.cn,http://www.escience.cn/people/yangfan2017/index.html,"[{'title': 'Biosensor', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:biosensor', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Abiosensor'}, {'title': 'Microfluidics', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:microfluidics', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Amicrofluidics'}, {'title': 'Zebrafish', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:zebrafish', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Azebrafish'}]",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=qMVUxNYAAAAJ&citpid=2
8,Qian Wang,Case Western Reserved University,Verified email at case.edu,,"[{'title': 'Endodontics', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:endodontics', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Aendodontics'}, {'title': 'Cellular and Molecular Microbiology', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:cellular_and_molecular_microbiology', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Acellular_and_molecular_microbiology'}]",https://scholar.google.com/citations/images/avatar_scholar_128.png
9,Bangce Ye,"Professor, East China University of Science and Technology",Verified email at ecust.edu.cn,,"[{'title': 'biology', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:biology', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Abiology'}, {'title': 'microbiology', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:microbiology', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Amicrobiology'}, {'title': 'Synthetic Biology', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:synthetic_biology', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Asynthetic_biology'}, {'title': 'analytical chemistry', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:analytical_chemistry', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Aanalytical_chemistry'}]",https://scholar.google.com/citations/images/avatar_scholar_128.png
10,Bangce Ye,"Professor, East China University of Science and Technology",Verified email at ecust.edu.cn,,"[{'title': 'biology', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:biology', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Abiology'}, {'title': 'microbiology', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:microbiology', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Amicrobiology'}, {'title': 'Synthetic Biology', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:synthetic_biology', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Asynthetic_biology'}, {'title': 'analytical chemistry', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:analytical_chemistry', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Aanalytical_chemistry'}]",https://scholar.google.com/citations/images/avatar_scholar_128.png
11,Qian Wang,Case Western Reserved University,Verified email at case.edu,,"[{'title': 'Endodontics', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:endodontics', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Aendodontics'}, {'title': 'Cellular and Molecular Microbiology', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:cellular_and_molecular_microbiology', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Acellular_and_molecular_microbiology'}]",https://scholar.google.com/citations/images/avatar_scholar_128.png
12,Bangce Ye,"Professor, East China University of Science and Technology",Verified email at ecust.edu.cn,,"[{'title': 'biology', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:biology', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Abiology'}, {'title': 'microbiology', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:microbiology', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Amicrobiology'}, {'title': 'Synthetic Biology', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:synthetic_biology', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Asynthetic_biology'}, {'title': 'analytical chemistry', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:analytical_chemistry', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Aanalytical_chemistry'}]",https://scholar.google.com/citations/images/avatar_scholar_128.png
