pmid,keywords,author_name
37961320,"Post-translationally modified peptides, Thiazole, Thiopeptide",Philip Bennallack
30964669,,Philip Bennallack
28497389,"Antibiotic, Micrococcin, Ripp, Thiopeptide",Philip Bennallack
27791142,"Ripp, Affinity-tagged intermediates, Antibiotic, Biosynthesis, Thiopeptide",Philip Bennallack
27381911,,Philip Bennallack
25313391,,Philip Bennallack
23015017,,Philip Bennallack
38450562,,Anne Keller-Novak
38449531,,Anne Keller-Novak
38448264,,Anne Keller-Novak
38447793,"Alzheimer’s disease, Amyloid precursor protein, Axonal transport, Dynactin-1, Early endosomes, Familial pathogenic variants, Lysosomes",Anne Keller-Novak
38446169,"Knee replacement, Osteoarthritis, Revision surgery, Total knee arthroplasty, Usage",Anne Keller-Novak
38443989,"Community drinking water, Dental caries, Primary prevention, Randomized controlled trial",Anne Keller-Novak
38443712,"Antifeedant, Cytochrome p450, Hederagenin, Saponin, Sex-specific, Toxicity, Transcriptomics",Anne Keller-Novak
38443061,"Diverticular disease, Gene expression, Gene regulation",Anne Keller-Novak
38442438,,Anne Keller-Novak
38441692,"Electromyography, Fatigue, Resistance training, Sex differences",Anne Keller-Novak
38441162,,Anne Keller-Novak
38441073,,Anne Keller-Novak
38441056,,Anne Keller-Novak
38438096,"Bone mineral density, Cognition, Height, Intelligence quotient, Occipitofrontal circumference",Anne Keller-Novak
38437981,,Anne Keller-Novak
38434197,"Susac syndrome, Black blood imaging, Branch retinal arterial occlusion, Hearing loss, Neuroimmunology, Stroke, Vasculitis",Anne Keller-Novak
38432472,,Anne Keller-Novak
38432181,,Anne Keller-Novak
38432055,"Bioprotection, Challenge test, Dairy, High-throughput screening, Lactic acid bacteria, Pathogen",Anne Keller-Novak
38432010,"Crop byproducts, Dairy cows, Enteric methane emission, Greenhouse gas emissions, Livestock",Anne Keller-Novak
