,name,affiliations,email,website,interests,thumbnail
0,Nadezda P. Sachivkina (Сачивкина Надежда Павловна),RUDN University (Российский университет дружбы народов),Verified email at pfur.ru,https://www.rudn.ru/,"[{'title': 'microbiology', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:microbiology', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Amicrobiology'}, {'title': 'veterinary medicine', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:veterinary_medicine', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Aveterinary_medicine'}, {'title': 'микробиология', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:%D0%BC%D0%B8%D0%BA%D1%80%D0%BE%D0%B1%D0%B8%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%8F', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3A%25D0%25BC%25D0%25B8%25D0%25BA%25D1%2580%25D0%25BE%25D0%25B1%25D0%25B8%25D0%25BE%25D0%25BB%25D0%25BE%25D0%25B3%25D0%25B8%25D1%258F'}, {'title': 'ветеринария', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:%D0%B2%D0%B5%D1%82%D0%B5%D1%80%D0%B8%D0%BD%D0%B0%D1%80%D0%B8%D1%8F', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3A%25D0%25B2%25D0%25B5%25D1%2582%25D0%25B5%25D1%2580%25D0%25B8%25D0%25BD%25D0%25B0%25D1%2580%25D0%25B8%25D1%258F'}]",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=kaxTj0gAAAAJ&citpid=2
1,Nadezda P. Sachivkina (Сачивкина Надежда Павловна),RUDN University (Российский университет дружбы народов),Verified email at pfur.ru,https://www.rudn.ru/,"[{'title': 'microbiology', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:microbiology', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Amicrobiology'}, {'title': 'veterinary medicine', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:veterinary_medicine', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Aveterinary_medicine'}, {'title': 'микробиология', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:%D0%BC%D0%B8%D0%BA%D1%80%D0%BE%D0%B1%D0%B8%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%8F', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3A%25D0%25BC%25D0%25B8%25D0%25BA%25D1%2580%25D0%25BE%25D0%25B1%25D0%25B8%25D0%25BE%25D0%25BB%25D0%25BE%25D0%25B3%25D0%25B8%25D1%258F'}, {'title': 'ветеринария', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:%D0%B2%D0%B5%D1%82%D0%B5%D1%80%D0%B8%D0%BD%D0%B0%D1%80%D0%B8%D1%8F', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3A%25D0%25B2%25D0%25B5%25D1%2582%25D0%25B5%25D1%2580%25D0%25B8%25D0%25BD%25D0%25B0%25D1%2580%25D0%25B8%25D1%258F'}]",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=kaxTj0gAAAAJ&citpid=2
2,Jian He,Zhejiang University,Verified email at zju.edu.cn,,"[{'title': 'Biomaterials and translational research', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:biomaterials_and_translational_research', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Abiomaterials_and_translational_research'}]",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=mizo2lMAAAAJ&citpid=10
3,Min Zhou,Zhejiang University,Verified email at zju.edu.cn,http://www.researcherid.com/rid/C-9031-2013,"[{'title': 'Molecular Imaging', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:molecular_imaging', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Amolecular_imaging'}, {'title': 'Nanomedicine', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:nanomedicine', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Ananomedicine'}, {'title': 'PET', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:pet', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Apet'}]",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=lgWxvF4AAAAJ&citpid=2
4,Maryam Banar,Ph.D. student of medical bacteriology,Verified email at razi.tums.ac.ir,,"[{'title': 'medical microbiology', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:medical_microbiology', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Amedical_microbiology'}]",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=bUbH0ysAAAAJ&citpid=3
5,"Mohammad Emaneini, PhD","Department of Microbiology, School of Medicine, Tehran University of Medical Sciences",Verified email at tums.ac.ir,,,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=l7Qo1aUAAAAJ&citpid=9
6,Rima Fanaei Pirlar,Charite University Medicine Berlin,Verified email at ut.ac.ir,,"[{'title': 'Antibiofilm therapy', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:antibiofilm_therapy', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Aantibiofilm_therapy'}, {'title': 'Phage therapy', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:phage_therapy', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Aphage_therapy'}, {'title': 'Biofilms', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:biofilms', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Abiofilms'}, {'title': 'PJI', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:pji', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Apji'}, {'title': 'Bioelectrical effect', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:bioelectrical_effect', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Abioelectrical_effect'}]",https://scholar.google.com/citations/images/avatar_scholar_128.png
7,Nadezda P. Sachivkina (Сачивкина Надежда Павловна),RUDN University (Российский университет дружбы народов),Verified email at pfur.ru,https://www.rudn.ru/,"[{'title': 'microbiology', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:microbiology', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Amicrobiology'}, {'title': 'veterinary medicine', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:veterinary_medicine', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Aveterinary_medicine'}, {'title': 'микробиология', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:%D0%BC%D0%B8%D0%BA%D1%80%D0%BE%D0%B1%D0%B8%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%8F', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3A%25D0%25BC%25D0%25B8%25D0%25BA%25D1%2580%25D0%25BE%25D0%25B1%25D0%25B8%25D0%25BE%25D0%25BB%25D0%25BE%25D0%25B3%25D0%25B8%25D1%258F'}, {'title': 'ветеринария', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:%D0%B2%D0%B5%D1%82%D0%B5%D1%80%D0%B8%D0%BD%D0%B0%D1%80%D0%B8%D1%8F', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3A%25D0%25B2%25D0%25B5%25D1%2582%25D0%25B5%25D1%2580%25D0%25B8%25D0%25BD%25D0%25B0%25D1%2580%25D0%25B8%25D1%258F'}]",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=kaxTj0gAAAAJ&citpid=2
8,Nadezda P. Sachivkina (Сачивкина Надежда Павловна),RUDN University (Российский университет дружбы народов),Verified email at pfur.ru,https://www.rudn.ru/,"[{'title': 'microbiology', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:microbiology', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Amicrobiology'}, {'title': 'veterinary medicine', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:veterinary_medicine', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Aveterinary_medicine'}, {'title': 'микробиология', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:%D0%BC%D0%B8%D0%BA%D1%80%D0%BE%D0%B1%D0%B8%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%8F', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3A%25D0%25BC%25D0%25B8%25D0%25BA%25D1%2580%25D0%25BE%25D0%25B1%25D0%25B8%25D0%25BE%25D0%25BB%25D0%25BE%25D0%25B3%25D0%25B8%25D1%258F'}, {'title': 'ветеринария', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:%D0%B2%D0%B5%D1%82%D0%B5%D1%80%D0%B8%D0%BD%D0%B0%D1%80%D0%B8%D1%8F', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3A%25D0%25B2%25D0%25B5%25D1%2582%25D0%25B5%25D1%2580%25D0%25B8%25D0%25BD%25D0%25B0%25D1%2580%25D0%25B8%25D1%258F'}]",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=kaxTj0gAAAAJ&citpid=2
9,Shi-Yang Tang (唐詩楊),"Associate Professor, University of Southampton, UK; ARC Future Fellow",Verified email at soton.ac.uk,https://www.southampton.ac.uk/people/62ttsz/doctor-shiyang-tang,"[{'title': 'Microfluidics', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:microfluidics', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Amicrofluidics'}, {'title': 'Dielectrophoresis', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:dielectrophoresis', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Adielectrophoresis'}, {'title': 'MEMS', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:mems', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Amems'}, {'title': 'Liquid metals', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:liquid_metals', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Aliquid_metals'}, {'title': 'Soft materials', 'link': 'https://scholar.google.com/citations?view_op=search_authors&hl=en&mauthors=label:soft_materials', 'serpapi_link': 'https://serpapi.com/search.json?engine=google_scholar_profiles&hl=en&mauthors=label%3Asoft_materials'}]",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=dJqS0a4AAAAJ&citpid=1
