keyword,pubmed_id,doi,author_name,affiliation,institute,address
Lyticase,37110241,10.3390/microorganisms11040818,Codreanu SI,"Faculty of Medicine, ""George Emil Palade"" University of Medicine, Pharmacy, Sciences and Technology of Târgu Mures, 38 Gheorghe Marinescu Street, 540139 Târgu Mures, Romania.","""George Emil Palade"" University of Medicine","Strada Gheorghe Marinescu 38, Târgu Mureș 540139, Romania"
Lyticase,37110241,10.3390/microorganisms11040818,Ciurea CN,"Department of Microbiology, Faculty of Medicine, ""George Emil Palade"" University of Medicine, Pharmacy, Sciences and Technology of Târgu Mures, 38 Gheorghe Marinescu Street, 540139 Târgu Mures, Romania.","""George Emil Palade"" University of Medicine","Strada Gheorghe Marinescu 38, Târgu Mureș 540139, Romania"
Lyticase,35196793,10.1128/spectrum.02589-21,Ruiz-Sorribas A,"Pharmacologie Cellulaire et Moléculaire, Louvain Drug Research Institute, Université catholique de Louvain, Brussels, Belgium.",Université catholique de Louvain,"Belgium, E. Mounierlaan 73, 1200 Sint-Lambrechts-Woluwe, Belgium"
Lyticase,35196793,10.1128/spectrum.02589-21,Poilvache H,"Orthopaedic Surgery Department, Cliniques Universitaires Saint-Luc, Brussels, Belgium.",Cliniques Universitaires Saint-Luc,"Av. Hippocrate 10, 1200 Bruxelles, Belgium"
Lyticase,35196793,10.1128/spectrum.02589-21,Kamarudin NHN,"Department of Chemical and Process Engineering, Faculty of Engineering and Built Environment, Universiti Kebangsaan Malaysia, Bangi, Malaysia.",Universiti Kebangsaan Malaysia,"43600 Bangi, Selangor, Malaysia"
Lyticase,35196793,10.1128/spectrum.02589-21,Braem A,"Department of Materials Engineering, Biomaterials and Tissue Engineering Research Group, KU Leuven, Leuven, Belgium.",Unparsed,"Oude Markt 13, 3000 Leuven, Belgium"
Lyticase,35196793,10.1128/spectrum.02589-21,Van Bambeke F,"Pharmacologie Cellulaire et Moléculaire, Louvain Drug Research Institute, Université catholique de Louvain, Brussels, Belgium.",Université catholique de Louvain,"Belgium, E. Mounierlaan 73, 1200 Sint-Lambrechts-Woluwe, Belgium"
Lyticase,28346123,10.1177/0300985817698207,Meason-Smith C,"1 Department of Veterinary Pathobiology, College of Veterinary Medicine and Biomedical Sciences, Texas A&M University, College Station, TX, USA.",Texas A&M University,"Texas A&M University, Veterinary Medical Sciences Building, 400 Raymond Stotzer Pkwy #4467, College Station, TX 77843, USA"
Lyticase,28346123,10.1177/0300985817698207,Edwards EE,"1 Department of Veterinary Pathobiology, College of Veterinary Medicine and Biomedical Sciences, Texas A&M University, College Station, TX, USA.",Texas A&M University,"Texas A&M University, Veterinary Medical Sciences Building, 400 Raymond Stotzer Pkwy #4467, College Station, TX 77843, USA"
Lyticase,28346123,10.1177/0300985817698207,Older CE,"1 Department of Veterinary Pathobiology, College of Veterinary Medicine and Biomedical Sciences, Texas A&M University, College Station, TX, USA.",Texas A&M University,"Texas A&M University, Veterinary Medical Sciences Building, 400 Raymond Stotzer Pkwy #4467, College Station, TX 77843, USA"
Lyticase,28346123,10.1177/0300985817698207,Branco M,"1 Department of Veterinary Pathobiology, College of Veterinary Medicine and Biomedical Sciences, Texas A&M University, College Station, TX, USA.",Texas A&M University,"Texas A&M University, Veterinary Medical Sciences Building, 400 Raymond Stotzer Pkwy #4467, College Station, TX 77843, USA"
Lyticase,28346123,10.1177/0300985817698207,Bryan LK,"1 Department of Veterinary Pathobiology, College of Veterinary Medicine and Biomedical Sciences, Texas A&M University, College Station, TX, USA.",Texas A&M University,"Texas A&M University, Veterinary Medical Sciences Building, 400 Raymond Stotzer Pkwy #4467, College Station, TX 77843, USA"
Lyticase,28346123,10.1177/0300985817698207,Lawhon SD,"1 Department of Veterinary Pathobiology, College of Veterinary Medicine and Biomedical Sciences, Texas A&M University, College Station, TX, USA.",Texas A&M University,"Texas A&M University, Veterinary Medical Sciences Building, 400 Raymond Stotzer Pkwy #4467, College Station, TX 77843, USA"
Lyticase,28346123,10.1177/0300985817698207,Suchodolski JS,"2 Department of Small Animal Clinical Sciences, College of Veterinary Medicine and Biomedical Sciences, Texas A&M University, College Station, TX, USA.",Texas A&M University,"Veterinary & Biomedical Education Complex, 660 Raymond Stotzer Pkwy, College Station, TX 77843, USA"
Lyticase,28346123,10.1177/0300985817698207,Gomez G,"3 Texas A&M Veterinary Medical Diagnostic Laboratory, College Station, TX, USA.",College Station,"483 Agronomy Rd, College Station, TX 77843, USA"
Lyticase,28346123,10.1177/0300985817698207,Mansell J,"1 Department of Veterinary Pathobiology, College of Veterinary Medicine and Biomedical Sciences, Texas A&M University, College Station, TX, USA.",Texas A&M University,"Texas A&M University, Veterinary Medical Sciences Building, 400 Raymond Stotzer Pkwy #4467, College Station, TX 77843, USA"
Lyticase,28346123,10.1177/0300985817698207,Hoffmann AR,"1 Department of Veterinary Pathobiology, College of Veterinary Medicine and Biomedical Sciences, Texas A&M University, College Station, TX, USA.",Texas A&M University,"Texas A&M University, Veterinary Medical Sciences Building, 400 Raymond Stotzer Pkwy #4467, College Station, TX 77843, USA"
Lyticase,35876436,10.1002/etc.5445,Riegraf C,"Swiss Centre for Applied Ecotoxicology, Dübendorf, Switzerland.",Unparsed,"Ueberlandstrasse 133, 8600 Dübendorf, Switzerland"
Lyticase,35876436,10.1002/etc.5445,Schifferli A,"Swiss Centre for Applied Ecotoxicology, Dübendorf, Switzerland.",Unparsed,"Ueberlandstrasse 133, 8600 Dübendorf, Switzerland"
Lyticase,35876436,10.1002/etc.5445,Olbrich D,"Swiss Centre for Applied Ecotoxicology, Dübendorf, Switzerland.",Unparsed,"Ueberlandstrasse 133, 8600 Dübendorf, Switzerland"
Lyticase,35876436,10.1002/etc.5445,Vermeirssen ELM,"Swiss Centre for Applied Ecotoxicology, Dübendorf, Switzerland.",Unparsed,"Ueberlandstrasse 133, 8600 Dübendorf, Switzerland"
Lyticase,34162722,10.4049/jimmunol.2000447,Meng Q,"State Key Laboratory of Integrated Management of Pest Insects and Rodents, Institute of Zoology, Chinese Academy of Sciences, Beijing, China.",Institute of Zoology,"China, Bei Jing Shi, Chao Yang Qu, Bei Chen Xi Lu, 华严里40 邮政编码: 100017"
Lyticase,34162722,10.4049/jimmunol.2000447,Wu PP,"College of Life Sciences, University of Chinese Academy of Sciences, Beijing, China.",University of Chinese Academy of Sciences,"Huairou District, China, 101408"
Lyticase,34162722,10.4049/jimmunol.2000447,Li MM,"College of Life Sciences, University of Chinese Academy of Sciences, Beijing, China.",University of Chinese Academy of Sciences,"Huairou District, China, 101408"
Lyticase,34162722,10.4049/jimmunol.2000447,Shu RH,"College of Life Sciences, University of Chinese Academy of Sciences, Beijing, China.",University of Chinese Academy of Sciences,"Huairou District, China, 101408"
Lyticase,34162722,10.4049/jimmunol.2000447,Zhou GL,"State Key Laboratory of Integrated Management of Pest Insects and Rodents, Institute of Zoology, Chinese Academy of Sciences, Beijing, China.",Institute of Zoology,"China, Bei Jing Shi, Chao Yang Qu, Bei Chen Xi Lu, 华严里40 邮政编码: 100017"
Lyticase,34162722,10.4049/jimmunol.2000447,Zhang JH,"State Key Laboratory of Integrated Management of Pest Insects and Rodents, Institute of Zoology, Chinese Academy of Sciences, Beijing, China.",Institute of Zoology,"China, Bei Jing Shi, Chao Yang Qu, Bei Chen Xi Lu, 华严里40 邮政编码: 100017"
Lyticase,34162722,10.4049/jimmunol.2000447,Zhang H,"State Key Laboratory of Integrated Management of Pest Insects and Rodents, Institute of Zoology, Chinese Academy of Sciences, Beijing, China.",Institute of Zoology,"China, Bei Jing Shi, Chao Yang Qu, Bei Chen Xi Lu, 华严里40 邮政编码: 100017"
Lyticase,34162722,10.4049/jimmunol.2000447,Jiang H,"Department of Entomology and Plant Pathology, Oklahoma State University, Stillwater, OK; and.",Oklahoma State University,"301, Physical Sciences, Stillwater, OK 74075, USA"
Lyticase,34162722,10.4049/jimmunol.2000447,Qin QL,"State Key Laboratory of Integrated Management of Pest Insects and Rodents, Institute of Zoology, Chinese Academy of Sciences, Beijing, China; qinql@ioz.ac.cn zouzhen@ioz.ac.cn.",Institute of Zoology,"1 Zhong Guan Cun Bei Er Tiao, Hai Dian Qu, Bei Jing Shi, China, 100190"
Lyticase,34162722,10.4049/jimmunol.2000447,Zou Z,"Chinese Academy of Sciences Center for Excellence in Biotic Interactions, University of Chinese Academy of Sciences, Beijing, China.",University of Chinese Academy of Sciences,"52 San Li He Lu, Xi Cheng Qu, Bei Jing Shi, China, 100045"
Lyticase,25753645,10.1128/AAC.04650-14,De Brucker K,"Centre of Microbial and Plant Genetics, CMPG, KU Leuven, Leuven, Belgium.",Unparsed,"Kasteelpark Arenberg 31, 3001 Leuven, Belgium"
Lyticase,25753645,10.1128/AAC.04650-14,Tan Y,"Centre of Microbial and Plant Genetics, CMPG, KU Leuven, Leuven, Belgium.",Unparsed,"Kasteelpark Arenberg 31, 3001 Leuven, Belgium"
Lyticase,25753645,10.1128/AAC.04650-14,Vints K,"Centre of Microbial and Plant Genetics, CMPG, KU Leuven, Leuven, Belgium.",Unparsed,"Kasteelpark Arenberg 31, 3001 Leuven, Belgium"
Lyticase,25753645,10.1128/AAC.04650-14,De Cremer K,"Centre of Microbial and Plant Genetics, CMPG, KU Leuven, Leuven, Belgium Department of Plant Systems Biology, VIB, Ghent, Belgium.",Unparsed,"Kasteelpark Arenberg 31, 3001 Leuven, Belgium"
Lyticase,25753645,10.1128/AAC.04650-14,Braem A,"Department of Materials Engineering, MTM, KU Leuven, Leuven, Belgium.",Unparsed,"Kasteelpark Arenberg 44/bus 2450, 3001 Leuven, Belgium"
Lyticase,25753645,10.1128/AAC.04650-14,Verstraeten N,"Centre of Microbial and Plant Genetics, CMPG, KU Leuven, Leuven, Belgium.",Unparsed,"Kasteelpark Arenberg 31, 3001 Leuven, Belgium"
Lyticase,25753645,10.1128/AAC.04650-14,Michiels J,"Centre of Microbial and Plant Genetics, CMPG, KU Leuven, Leuven, Belgium.",Unparsed,"Kasteelpark Arenberg 31, 3001 Leuven, Belgium"
Lyticase,25753645,10.1128/AAC.04650-14,Vleugels J,"Department of Materials Engineering, MTM, KU Leuven, Leuven, Belgium.",Unparsed,"Kasteelpark Arenberg 44/bus 2450, 3001 Leuven, Belgium"
Lyticase,25753645,10.1128/AAC.04650-14,Cammue BP,"Centre of Microbial and Plant Genetics, CMPG, KU Leuven, Leuven, Belgium Department of Plant Systems Biology, VIB, Ghent, Belgium bruno.cammue@biw.kuleuven.be.",Unparsed,"Kasteelpark Arenberg 31, 3001 Leuven, Belgium"
Lyticase,25753645,10.1128/AAC.04650-14,Thevissen K,"Centre of Microbial and Plant Genetics, CMPG, KU Leuven, Leuven, Belgium.",Unparsed,"Kasteelpark Arenberg 31, 3001 Leuven, Belgium"
Lyticase,1827112,10.1128/jb.173.10.3101-3108.1991,Patton JL,"Department of Biochemistry, University of Kentucky, Lexington 40536.",University of Kentucky,"145, Biomedical Biological Sciences Research Building, 741 S Limestone, Lexington, KY 40508, USA"
Lyticase,1938939,10.1128/jb.173.23.7429-7435.1991,Adams CC,"Department of Biochemistry and Molecular Biology, Louisiana State University Medical Center, Shreveport 71130.",Louisiana State University Medical Center,"1501 Kings Hwy, Shreveport, LA 71103, USA"
Lyticase,24171161,10.1155/2013/268249,Vellanki RN,"Centre for Biotechnology, Institute of Science and Technology, Jawaharlal Nehru Technological University, Kukatpally, Hyderabad, Andhra Pradesh 500085, India ; Ontario Cancer Institute, Princess Margaret Cancer Centre, 610 University Avenue, Toronto, ON, Canada M5G 2M9.",Jawaharlal Nehru Technological University,"Jawaharlal Nehru Technological University, Kukatpally, Hyderabad, Telangana 500085, India"
Lyticase,2228219,10.1128/iai.58.11.3469-3476.1990,Hazen KC,"Division of Biological Sciences, University of Montana, Missoula 59812.",University of Montana,"Health Sciences, 32 Campus Dr, Missoula, MT 59812, USA"
Lyticase,7890381,10.1128/iai.63.4.1253-1257.1995,Blasi E,"Department of Experimental Medicine and Biochemical Sciences, University of Perugia, Italy.",University of Perugia,"Unnamed Road, 06132, 06132 Perugia PG, Italy"
Lyticase,32801551,10.14202/vetworld.2020.1030-1036,Sachivkina N,"Department of Microbiology and Virology, RUDN University, Miklukho Maklaya Street, 6, Moscow 117198, Russia.",RUDN University,"ul. Miklukho-Maklaya, 6, Moskva, Russia, 117198"
Lyticase,32801551,10.14202/vetworld.2020.1030-1036,Lenchenko E,"Department of Veterinary Medicine, Moscow State University of Food Production, Volokolamskoe Highway, 11, Moscow 125080, Russia.",Moscow State University of Food Production,"Volokolamskoye shosse, 11, Moskva, Russia, 125080"
Lyticase,32801551,10.14202/vetworld.2020.1030-1036,Blumenkrants D,"Department of Veterinary Medicine, Moscow State University of Food Production, Volokolamskoe Highway, 11, Moscow 125080, Russia.",Moscow State University of Food Production,"Volokolamskoye shosse, 11, Moskva, Russia, 125080"
Lyticase,32801551,10.14202/vetworld.2020.1030-1036,Ibragimova A,"Department of Foreign Languages, Agrarian Technological Institute, RUDN University, Miklukho Maklaya Street, 6, Moscow 117198, Russia.",RUDN University,"ul. Miklukho-Maklaya, 6, Moskva, Russia, 117198"
Lyticase,32801551,10.14202/vetworld.2020.1030-1036,Bazarkina O,"Department of Management and Economy in Pharmacy, Medical Institute, RUDN University, Miklukho Maklaya Street, 6, Moscow 117198, Russia.",RUDN University,"ul. Miklukho-Maklaya, 8, Moskva, Russia, 117198"
Lyticase,11355334,10.2144/01305st05,Le Guével R,"Université de Rennes, Rennes, France. remy.le-guevel@univ-rennes1.fr",Université de Rennes,"7 Pl. Hoche, 35000 Rennes, France"
Lyticase,15448865,10.1590/s0100-879x2004001000003,Cavalheiro RA,"Departamento de Patologia Clínica, Faculdade de Ciências Médicas, Universidade Estadual de Campinas, 13083-970 Campinas, SP, Brazil.",Universidade Estadual de Campinas,"R. Tessália Vieira de Camargo, 126 - Cidade Universitária, Campinas - SP, 13083-887, Brazil"
Lyticase,16849719,10.1099/jmm.0.46569-0,Al-Fattani MA,"Division of Infection and Immunity, Institute of Biomedical and Life Sciences, Joseph Black Building, University of Glasgow, Glasgow G12 8QQ, UK.",University of Glasgow,"Glasgow G12 8QQ, UK"
Lyticase,16849719,10.1099/jmm.0.46569-0,Douglas LJ,"Division of Infection and Immunity, Institute of Biomedical and Life Sciences, Joseph Black Building, University of Glasgow, Glasgow G12 8QQ, UK.",University of Glasgow,"Glasgow G12 8QQ, UK"
Lyticase,18287291,10.1099/jmm.0.47617-0,Metwally L,"Department of Medical Microbiology, Royal Victoria Hospital, Belfast, Northern Ireland.",Unparsed,"274 Grosvenor Rd, Belfast BT12 6BA, UK"
Lyticase,18287291,10.1099/jmm.0.47617-0,Fairley DJ,"Department of Medical Microbiology, Royal Victoria Hospital, Belfast, Northern Ireland.",Unparsed,"274 Grosvenor Rd, Belfast BT12 6BA, UK"
Lyticase,18287291,10.1099/jmm.0.47617-0,Coyle PV,"Department of Medical Microbiology, Royal Victoria Hospital, Belfast, Northern Ireland.",Unparsed,"274 Grosvenor Rd, Belfast BT12 6BA, UK"
Lyticase,18287291,10.1099/jmm.0.47617-0,Hay RJ,"Queen's University of Belfast, School of Medicine and Dentistry, Belfast, Northern Ireland.",Queen's University of Belfast,"Queen's University Belfast, 97 Lisburn Rd, Belfast BT9 7BL, UK"
Lyticase,18287291,10.1099/jmm.0.47617-0,Hedderwick S,"Department of Infectious Diseases, Royal Victoria Hospital, Belfast, Northern Ireland.",Unparsed,"Royal Victoria Hospital, 274 Grosvenor Road, Belfast BT12 6BA, UK"
Lyticase,18287291,10.1099/jmm.0.47617-0,McCloskey B,"Regional Intensive Care Unit, Royal Victoria Hospital, Belfast, Northern Ireland.",Unparsed,"274 Grosvenor Rd, Belfast BT12 6BA, UK"
Lyticase,18287291,10.1099/jmm.0.47617-0,O'Neill HJ,"Department of Medical Microbiology, Royal Victoria Hospital, Belfast, Northern Ireland.",Unparsed,"274 Grosvenor Rd, Belfast BT12 6BA, UK"
Lyticase,18287291,10.1099/jmm.0.47617-0,Webb CH,"Department of Medical Microbiology, Royal Victoria Hospital, Belfast, Northern Ireland.",Unparsed,"274 Grosvenor Rd, Belfast BT12 6BA, UK"
Lyticase,18287291,10.1099/jmm.0.47617-0,Elbaz W,"Department of Infectious Diseases, Royal Victoria Hospital, Belfast, Northern Ireland.",Unparsed,"Royal Victoria Hospital, 274 Grosvenor Road, Belfast BT12 6BA, UK"
Lyticase,18287291,10.1099/jmm.0.47617-0,McMullan R,"Department of Medical Microbiology, Royal Victoria Hospital, Belfast, Northern Ireland.",Unparsed,"274 Grosvenor Rd, Belfast BT12 6BA, UK"
Lyticase,29910923,10.1039/c8sc01130c,Jiang N,"School of Engineering and Applied Sciences , Harvard University , Cambridge , Massachusetts 02138 , USA . Email: xyyang@seas.harvard.edu.",Harvard University ,"29 Oxford St, Cambridge, MA 02138, USA"
Lyticase,29910923,10.1039/c8sc01130c,Ying GL,"Division of Engineering in Medicine , Brigham and Women's Hospital , Harvard Medical School , Cambridge , Massachusetts 02139 , USA.",Harvard Medical School ,"900 Commonwealth Ave, Boston, MA 02115, USA"
Lyticase,29910923,10.1039/c8sc01130c,Yetisen AK,"School of Chemical Engineering , University of Birmingham , Birmingham B15 2TT , UK.",University of Birmingham ,"University of Birmingham, S W Campus, Birmingham B15 2TT, UK"
Lyticase,29910923,10.1039/c8sc01130c,Montelongo Y,"Universidad De La Salle Bajío , León , 37150 , México.",Universidad De La Salle Bajío ,"Universidad de La Salle Bajío, Lomas del Campestre, 37150 León de los Aldama, Gto., Mexico"
Lyticase,29910923,10.1039/c8sc01130c,Shen L,"State Key Laboratory of Advanced Technology for Materials Synthesis and Processing , Wuhan University of Technology , 122 Luoshi Road , Wuhan , 430070 , China . Email: xyyang@whut.edu.cn.",Wuhan University of Technology ,"China, Hu Bei Sheng, Wu Han Shi, Qing Shan Qu, 和平大道947号 邮政编码: 430081"
Lyticase,29910923,10.1039/c8sc01130c,Xiao YX,"State Key Laboratory of Advanced Technology for Materials Synthesis and Processing , Wuhan University of Technology , 122 Luoshi Road , Wuhan , 430070 , China . Email: xyyang@whut.edu.cn.",Wuhan University of Technology ,"China, Hu Bei Sheng, Wu Han Shi, Qing Shan Qu, 和平大道947号 邮政编码: 430081"
Lyticase,29910923,10.1039/c8sc01130c,Busscher HJ,"University of Groningen , University Medical Center Groningen , Department of Biomedical Engineering , Antonius Deusinglaan 1 , 9713 AV , Groningen , The Netherlands.",University of Groningen ,"Hoendiepskade 23/24, 9718 BG Groningen, Netherlands"
Lyticase,29910923,10.1039/c8sc01130c,Yang XY,"School of Engineering and Applied Sciences , Harvard University , Cambridge , Massachusetts 02138 , USA . Email: xyyang@seas.harvard.edu.",Harvard University ,"29 Oxford St, Cambridge, MA 02138, USA"
Lyticase,29910923,10.1039/c8sc01130c,Su BL,"Laboratory of Inorganic Materials Chemistry , University of Namur , 61, rue de Bruxelles , 5000 Namur , Belgium . Email: bao-lian.su@fundp.ac.be.",University of Namur ,"Rue de Bruxelles 61, 5000 Namur, Belgium"
Lyticase,21861765,10.1139/w11-064,Lass-Flörl C,"Division of Hygiene and Medical Microbiology, Innsbruck Medical University, Fritz-Pregl-Straße 3, 6020 Innsbruck, Austria. cornelia.lass-floerl@i-med.ac.at",Innsbruck Medical University,"Christoph-Probst-Platz 1, Innrain 52 A, Fritz-Pregl-Straße 3, 6020 Innsbruck, Austria"
Lyticase,22833944,10.4155/tde.10.114,Lakshminarayanan R,"Department of Inorganic Chemistry, School of Chemistry, Madurai Kamaraj University, Madurai, India.",Madurai Kamaraj University,"Palkalai Nagar, Tamil Nadu 625021, India"
Lyticase,24724806,10.1021/es405731j,Brinkmann M,"Institute for Environmental Research, Department of Ecosystem Analysis, ABBt-Aachen Biology and Biotechnology, RWTH Aachen University , Worringerweg 1, 52074 Aachen, Germany.",RWTH Aachen University ,"Worringerweg 1, 52074 Aachen, Germany"
Lyticase,29266292,10.1002/jobm.201700545,Szilágyi M,"Faculty of Science and Technology, Department of Biotechnology and Microbiology, University of Debrecen, Debrecen, Hungary.",University of Debrecen,"Debrecen, Nagyerdei krt. 98, 4032 Hungary"
Lyticase,29266292,10.1002/jobm.201700545,Anton F,"Faculty of Science and Technology, Department of Biotechnology and Microbiology, University of Debrecen, Debrecen, Hungary.",University of Debrecen,"Debrecen, Nagyerdei krt. 98, 4032 Hungary"
Lyticase,29266292,10.1002/jobm.201700545,Pócsi I,"Faculty of Science and Technology, Department of Biotechnology and Microbiology, University of Debrecen, Debrecen, Hungary.",University of Debrecen,"Debrecen, Nagyerdei krt. 98, 4032 Hungary"
Lyticase,29266292,10.1002/jobm.201700545,Emri T,"Faculty of Science and Technology, Department of Biotechnology and Microbiology, University of Debrecen, Debrecen, Hungary.",University of Debrecen,"Debrecen, Nagyerdei krt. 98, 4032 Hungary"
Lyticase,29675537,10.1039/c8cc01311j,Wang G,"State Key Laboratory of Chemical Resource Engineering, Beijing University of Chemical Technology, Beijing, 100029, China. yangwt@mail.buct.edu.cn zhaocw@mail.buct.edu.cn.",Beijing University of Chemical Technology,"Chaoyang, China, 100013"
Lyticase,31816151,10.1002/cpps.101,Öztürk S,"Industrial Biotechnology and Metabolic Engineering Laboratory, Department of Biotechnology, Graduate School of Natural and Applied Sciences, Middle East Technical University, Ankara, Turkey.",Middle East Technical University,"Üniversiteler, Şht. Selami Atabey Cd. Ortadoğu Teknik Üniversitesi, 06800 Çankaya/Ankara, Türkiye"
Lyticase,31816151,10.1002/cpps.101,Demir İ,"Industrial Biotechnology and Metabolic Engineering Laboratory, Department of Biotechnology, Graduate School of Natural and Applied Sciences, Middle East Technical University, Ankara, Turkey.",Middle East Technical University,"Üniversiteler, Şht. Selami Atabey Cd. Ortadoğu Teknik Üniversitesi, 06800 Çankaya/Ankara, Türkiye"
Lyticase,31816151,10.1002/cpps.101,Çalık P,"Industrial Biotechnology and Metabolic Engineering Laboratory, Department of Biotechnology, Graduate School of Natural and Applied Sciences, Middle East Technical University, Ankara, Turkey.",Middle East Technical University,"Üniversiteler, Şht. Selami Atabey Cd. Ortadoğu Teknik Üniversitesi, 06800 Çankaya/Ankara, Türkiye"
Lyticase,33464648,10.1002/yea.3514,Terzioğlu E,"Dr. Orhan Öcalgiray Molecular Biology, Biotechnology and Genetics Research Center (ITU-MOBGAM), Istanbul Technical University, Istanbul, Turkey.",Istanbul Technical University,"Maslak, İstanbul Teknik Üniversitesi, 34469 Sarıyer/İstanbul, Türkiye"
Lyticase,33464648,10.1002/yea.3514,Alkım C,"Dr. Orhan Öcalgiray Molecular Biology, Biotechnology and Genetics Research Center (ITU-MOBGAM), Istanbul Technical University, Istanbul, Turkey.",Istanbul Technical University,"Maslak, İstanbul Teknik Üniversitesi, 34469 Sarıyer/İstanbul, Türkiye"
Lyticase,33464648,10.1002/yea.3514,Arslan M,"Department of Genetics, Faculty of Veterinary Medicine, Van Yüzüncü Yıl University, Van, Turkey.",Van Yüzüncü Yıl University,"Bardakçı, 65000 Van Merkez/Van, Türkiye"
Lyticase,33464648,10.1002/yea.3514,Balaban BG,"Dr. Orhan Öcalgiray Molecular Biology, Biotechnology and Genetics Research Center (ITU-MOBGAM), Istanbul Technical University, Istanbul, Turkey.",Istanbul Technical University,"Maslak, İstanbul Teknik Üniversitesi, 34469 Sarıyer/İstanbul, Türkiye"
Lyticase,33464648,10.1002/yea.3514,Holyavkin C,"Dr. Orhan Öcalgiray Molecular Biology, Biotechnology and Genetics Research Center (ITU-MOBGAM), Istanbul Technical University, Istanbul, Turkey.",Istanbul Technical University,"Maslak, İstanbul Teknik Üniversitesi, 34469 Sarıyer/İstanbul, Türkiye"
Lyticase,33464648,10.1002/yea.3514,Kısakesen Hİ,"Dr. Orhan Öcalgiray Molecular Biology, Biotechnology and Genetics Research Center (ITU-MOBGAM), Istanbul Technical University, Istanbul, Turkey.",Istanbul Technical University,"Maslak, İstanbul Teknik Üniversitesi, 34469 Sarıyer/İstanbul, Türkiye"
Lyticase,33464648,10.1002/yea.3514,Topaloğlu A,"Dr. Orhan Öcalgiray Molecular Biology, Biotechnology and Genetics Research Center (ITU-MOBGAM), Istanbul Technical University, Istanbul, Turkey.",Istanbul Technical University,"Maslak, İstanbul Teknik Üniversitesi, 34469 Sarıyer/İstanbul, Türkiye"
Lyticase,33464648,10.1002/yea.3514,Yılmaz Şahin Ü,"Dr. Orhan Öcalgiray Molecular Biology, Biotechnology and Genetics Research Center (ITU-MOBGAM), Istanbul Technical University, Istanbul, Turkey.",Istanbul Technical University,"Maslak, İstanbul Teknik Üniversitesi, 34469 Sarıyer/İstanbul, Türkiye"
Lyticase,33464648,10.1002/yea.3514,Gündüz Işık S,"Department of Chemistry, Faculty of Science and Letters, Istanbul Technical University, Istanbul, Turkey.",Istanbul Technical University,"Maslak, 34469 Sarıyer/İstanbul, Türkiye"
Lyticase,33464648,10.1002/yea.3514,Akman S,"Department of Chemistry, Faculty of Science and Letters, Istanbul Technical University, Istanbul, Turkey.",Istanbul Technical University,"Maslak, 34469 Sarıyer/İstanbul, Türkiye"
