Unnamed: 0,firstName,initials,lastName,affiliation,country,institute
0,,Q,Xu,"Henan Provincial Key Laboratory of Animal Immunology, Henan Academy of Agricultural Sciences, Zhengzhou, China.",China,Henan Academy of Agricultural Sciences
1,,Y,Sun,"Henan Provincial Key Laboratory of Animal Immunology, Henan Academy of Agricultural Sciences, Zhengzhou, China.",China,Henan Academy of Agricultural Sciences
2,,J,Yang,"Henan Provincial Key Laboratory of Animal Immunology, Henan Academy of Agricultural Sciences, Zhengzhou, China.",China,Henan Academy of Agricultural Sciences
3,,F,Ma,"CAS Key Laboratory of Nano-Bio Interface, Suzhou Institute of Nano-Tech and Nano-Bionics, Chinese Academy of Sciences, Suzhou, China.",China,Suzhou Institute of Nano-Tech and Nano-Bionics
4,,Y,Wang,"Henan Provincial Key Laboratory of Animal Immunology, Henan Academy of Agricultural Sciences, Zhengzhou, China.",China,Henan Academy of Agricultural Sciences
5,,S,Zhang,"International Joint Research Center of National Animal Immunology, College of Veterinary Medicine, Henan Agriculture University,grid.108266.b Zhengzhou, China.",China,Henan Agriculture University
6,,X,Li,"International Joint Research Center of National Animal Immunology, College of Veterinary Medicine, Henan Agriculture University,grid.108266.b Zhengzhou, China.",China,Henan Agriculture University
7,,X,Qu,"International Joint Research Center of National Animal Immunology, College of Veterinary Medicine, Henan Agriculture University,grid.108266.b Zhengzhou, China.",China,Henan Agriculture University
8,,Y,Bai,"Henan Provincial Key Laboratory of Animal Immunology, Henan Academy of Agricultural Sciences, Zhengzhou, China.",China,Henan Academy of Agricultural Sciences
9,,R,Jia,"Henan Provincial Key Laboratory of Animal Immunology, Henan Academy of Agricultural Sciences, Zhengzhou, China.",China,Henan Academy of Agricultural Sciences
10,,L,Wang,"Henan Provincial Key Laboratory of Animal Immunology, Henan Academy of Agricultural Sciences, Zhengzhou, China.",China,Henan Academy of Agricultural Sciences
11,,E,Zhang,"International Joint Research Center of National Animal Immunology, College of Veterinary Medicine, Henan Agriculture University,grid.108266.b Zhengzhou, China.",China,Henan Agriculture University
12,,G,Zhang,"Jiangsu Co-Innovation Center for the Prevention and Control of Important Animal Infectious Diseases and Zoonoses, Yangzhou University, Yangzhou, China.",China,Yangzhou University
13,,X,Ji,"Department of Computational Biology, Phil Rivers Technology Ltd, Beijing, China.",China,Unparsed
14,,W,Tan,"Department of Infectious Diseases, Southwest Hospital, Third Military Medical University (Army Medical University), Chongqing, China.",China,Third Military Medical University (Army Medical University)
15,,C,Zhang,"West Institute of Computing Technology, Chinese Academy of Sciences, Chongqing, China.",China,West Institute of Computing Technology
16,,Y,Zhai,"University of Chinese Academy of Sciences, Beijing, China.",China,University of Chinese Academy of Sciences
17,,Y,Hsueh,"Department of Computational Biology, Phil Rivers Technology Ltd, Beijing, China.",China,Unparsed
