Unnamed: 0,firstName,initials,lastName,affiliation,country,institute
20300,,CL,Varevadiya,"Health Department, District Panchayat, Morbi, Gujarat, India.",India,Unparsed
20301,,A,Vora,"Government Medical College and Sir-T Hospital Bhavnagar, Gujarat, India.",India,Government Medical College and Sir-T Hospital Bhavnagar
20302,,A,Kanani,"Animal Husbandry Department, Foot and Mouth Disease Scheme, Ahmedabad, Gujarat, India.",India,Unparsed
20303,,RR,Gangakhedkar,"Epidemiology and Communicable Diseases (ECD) Division, Indian Council of Medical Research, New Delhi, India.",India,Unparsed
20304,,RR,Sahay,"Indian Council of Medical Research-National Institute of Virology, Maximum Containment Facility, Pune, Maharashtra, India.",India,Indian Council of Medical Research-National Institute of Virology
20305,,AM,Shete,"Indian Council of Medical Research-National Institute of Virology, Maximum Containment Facility, Pune, Maharashtra, India.",India,Indian Council of Medical Research-National Institute of Virology
20306,,PD,Yadav,"Indian Council of Medical Research-National Institute of Virology, Maximum Containment Facility, Pune, Maharashtra, India.",India,Indian Council of Medical Research-National Institute of Virology
20307,,S,Patil,"Indian Council of Medical Research-National Institute of Virology, Maximum Containment Facility, Pune, Maharashtra, India.",India,Indian Council of Medical Research-National Institute of Virology
20308,,T,Majumdar,"Indian Council of Medical Research-National Institute of Virology, Maximum Containment Facility, Pune, Maharashtra, India.",India,Indian Council of Medical Research-National Institute of Virology
20309,,R,Jain,"Indian Council of Medical Research-National Institute of Virology, Maximum Containment Facility, Pune, Maharashtra, India.",India,Indian Council of Medical Research-National Institute of Virology
20310,,DA,Nyayanit,"Indian Council of Medical Research-National Institute of Virology, Maximum Containment Facility, Pune, Maharashtra, India.",India,Indian Council of Medical Research-National Institute of Virology
20311,,H,Kaushal,"Indian Council of Medical Research-National Institute of Virology, Maximum Containment Facility, Pune, Maharashtra, India.",India,Indian Council of Medical Research-National Institute of Virology
20312,,SJ,Panjwani,"Government Medical College and Sir-T Hospital Bhavnagar, Gujarat, India.",India,Government Medical College and Sir-T Hospital Bhavnagar
20313,,KJ,Upadhyay,"BJ Medical College and Civil Hospital, Ahmedabad, Gujarat, India.",India,BJ Medical College and Civil Hospital
20314,,CL,Varevadiya,"Health Department, District Panchayat, Morbi, Gujarat, India.",India,Unparsed
20315,,A,Vora,"Government Medical College and Sir-T Hospital Bhavnagar, Gujarat, India.",India,Government Medical College and Sir-T Hospital Bhavnagar
20316,,A,Kanani,"Animal Husbandry Department, Foot and Mouth Disease Scheme, Ahmedabad, Gujarat, India.",India,Unparsed
20317,,RR,Gangakhedkar,"Epidemiology and Communicable Diseases (ECD) Division, Indian Council of Medical Research, New Delhi, India.",India,Unparsed
20318,,N,Zhang,"College of Animal Science and Technology, Henan Agricultural University, Zhengzhou, Henan, China.",China,Henan Agricultural University
20319,,Z,Teng,"College of Animal Science and Technology, Henan Agricultural University, Zhengzhou, Henan, China.",China,Henan Agricultural University
20320,,P,Li,"College of Animal Science and Technology, Henan Agricultural University, Zhengzhou, Henan, China.",China,Henan Agricultural University
20321,,T,Fu,"College of Animal Science and Technology, Henan Agricultural University, Zhengzhou, Henan, China.",China,Henan Agricultural University
20322,,H,Lian,"College of Animal Science and Technology, Henan Agricultural University, Zhengzhou, Henan, China.",China,Henan Agricultural University
20323,,L,Wang,"College of Animal Science and Technology, Henan Agricultural University, Zhengzhou, Henan, China.",China,Henan Agricultural University
20324,,T,Gao,"College of Animal Science and Technology, Henan Agricultural University, Zhengzhou, Henan, China.",China,Henan Agricultural University
20325,,Y,Sun,"Laboratory of Biomaterials and Biomechanics, Beijing Key Laboratory of Tooth Regeneration and Function Reconstruction, School of Stomatology, Capital Medical University, Beijing 100050, China.",China,Capital Medical University
20326,,R,Lu,"Laboratory of Biomaterials and Biomechanics, Beijing Key Laboratory of Tooth Regeneration and Function Reconstruction, School of Stomatology, Capital Medical University, Beijing 100050, China.",China,Capital Medical University
20327,,J,Liu,"Laboratory of Biomaterials and Biomechanics, Beijing Key Laboratory of Tooth Regeneration and Function Reconstruction, School of Stomatology, Capital Medical University, Beijing 100050, China.",China,Capital Medical University
20328,,X,Wang,"Laboratory of Biomaterials and Biomechanics, Beijing Key Laboratory of Tooth Regeneration and Function Reconstruction, School of Stomatology, Capital Medical University, Beijing 100050, China.",China,Capital Medical University
20329,,H,Dong,"Laboratory of Biomaterials and Biomechanics, Beijing Key Laboratory of Tooth Regeneration and Function Reconstruction, School of Stomatology, Capital Medical University, Beijing 100050, China.",China,Capital Medical University
20330,,S,Chen,"Laboratory of Biomaterials and Biomechanics, Beijing Key Laboratory of Tooth Regeneration and Function Reconstruction, School of Stomatology, Capital Medical University, Beijing 100050, China.",China,Capital Medical University
20331,,JC,García-Cruz,"Faculty of Medicine Department of Microbiology and Parasitology, Universidad Nacional de México, Mexico City, Mexico.",Mexico,Universidad Nacional de México
20332,,D,Huelgas-Méndez,"Faculty of Medicine Department of Microbiology and Parasitology, Universidad Nacional de México, Mexico City, Mexico.",Mexico,Universidad Nacional de México
20333,,JS,Jiménez-Zúñiga,"Faculty of Medicine Department of Microbiology and Parasitology, Universidad Nacional de México, Mexico City, Mexico.",Mexico,Universidad Nacional de México
20334,,X,Rebollar-Juárez,"Faculty of Medicine Department of Microbiology and Parasitology, Universidad Nacional de México, Mexico City, Mexico.",Mexico,Universidad Nacional de México
20335,,M,Hernández-Garnica,"Faculty of Medicine Department of Microbiology and Parasitology, Universidad Nacional de México, Mexico City, Mexico.",Mexico,Universidad Nacional de México
20336,,AM,Fernández-Presas,"Faculty of Medicine Department of Microbiology and Parasitology, Universidad Nacional de México, Mexico City, Mexico.",Mexico,Universidad Nacional de México
20337,,FM,Husain,"Department of Food Science and Nutrition, King Saud University, Riyadh, Saudi Arabia.",Saudi Arabia,King Saud University
20338,,R,Alenazy,"Department of Medical Laboratory, College of Applied Medical Sciences-Shaqra, Shaqra University, Shaqra, Saudi Arabia.",Saudi Arabia,Shaqra University
20339,,M,Alqasmi,"Department of Medical Laboratory, College of Applied Medical Sciences-Shaqra, Shaqra University, Shaqra, Saudi Arabia.",Saudi Arabia,Shaqra University
20340,,T,Albalawi,"Department of Biology, Prince Sattam bin Abdulaziz University, Alkharj, Saudi Arabia.",Saudi Arabia,Prince Sattam bin Abdulaziz University
20341,,P,Alam,"Department of Biology, Prince Sattam bin Abdulaziz University, Alkharj, Saudi Arabia.",Saudi Arabia,Prince Sattam bin Abdulaziz University
20342,,R,García-Contreras,"Faculty of Medicine Department of Microbiology and Parasitology, Universidad Nacional de México, Mexico City, Mexico.",Mexico,Universidad Nacional de México
20343,,DCA,Omoga,"Zoonotic Arbo and Respiratory Virus Research Program, Centre for Viral Zoonoses, Department of Medical Virology, Faculty of Health, University of Pretoria, Private Bag X 323, Gezina 0031, South Africa.",South Africa,University of Pretoria
20344,,DP,Tchouassi,"International Centre of Insect Physiology and Ecology, Nairobi P.O. Box 30772-00100, Kenya.",Kenya,Unparsed
20345,,M,Venter,"Zoonotic Arbo and Respiratory Virus Research Program, Centre for Viral Zoonoses, Department of Medical Virology, Faculty of Health, University of Pretoria, Private Bag X 323, Gezina 0031, South Africa.",South Africa,University of Pretoria
20346,,EO,Ogola,"International Centre of Insect Physiology and Ecology, Nairobi P.O. Box 30772-00100, Kenya.",Kenya,Unparsed
20347,,J,Osalla,"International Centre of Insect Physiology and Ecology, Nairobi P.O. Box 30772-00100, Kenya.",Kenya,Unparsed
20348,,A,Kopp,"Institute of Virology, Charité Universitätsmedizin Berlin, Corporate Member of Free University Berlin, Humboldt-University Berlin, and Berlin Institute of Health, Chariteplatz 1, 10117 Berlin, Germany.",Germany,Charité Universitätsmedizin Berlin
20349,,I,Slothouwer,"Institute of Virology, Charité Universitätsmedizin Berlin, Corporate Member of Free University Berlin, Humboldt-University Berlin, and Berlin Institute of Health, Chariteplatz 1, 10117 Berlin, Germany.",Germany,Charité Universitätsmedizin Berlin
20350,,B,Torto,"International Centre of Insect Physiology and Ecology, Nairobi P.O. Box 30772-00100, Kenya.",Kenya,Unparsed
20351,,S,Junglen,"Institute of Virology, Charité Universitätsmedizin Berlin, Corporate Member of Free University Berlin, Humboldt-University Berlin, and Berlin Institute of Health, Chariteplatz 1, 10117 Berlin, Germany.",Germany,Charité Universitätsmedizin Berlin
20352,,R,Sang,"International Centre of Insect Physiology and Ecology, Nairobi P.O. Box 30772-00100, Kenya.",Kenya,Unparsed
20353,,O,Danchuk,"Institute of Climate-Smart Agriculture, National Academy of Agrarian Sciences, 24 Mayatska Road, Khlibodarske Village, 67667 Odesa, Ukraine.",Ukraine,Institute of Climate-Smart Agriculture
20354,,A,Levchenko,"Department of Microbiology, Faculty of Veterinary Medicine, Ataturk University, Yakutiye, Erzurum 25240, Turkey.",Turkey,Ataturk University
20355,,R,da Silva Mesquita,"European Chemicals Agency (ECHA), Telakkakatu 6, 00150 Helsinki, Finland.",Finland,Unparsed
20356,,V,Danchuk,"Ukrainian Laboratory of Quality and Safety of Agricultural Products, Mashynobudivna Str. 7, Chabany Village, 08162 Kyiv, Ukraine.",Ukraine,Ukrainian Laboratory of Quality and Safety of Agricultural Products
20357,,S,Cengiz,"Milas Faculty of Veterinary Medicine, Mugla Sitki Kocman University, Mugla 48000, Turkey.",Turkey,Mugla Sitki Kocman University
20358,,M,Cengiz,"Milas Faculty of Veterinary Medicine, Mugla Sitki Kocman University, Mugla 48000, Turkey.",Turkey,Mugla Sitki Kocman University
20359,,A,Grafov,"Department of Chemistry, University of Helsinki, A.I. Virtasen Aukio 1 (PL 55), 00560 Helsinki, Finland.",Finland,University of Helsinki
20360,,LJ,Bishop,"Department of Biochemistry, Genetics and Microbiology, Faculty of Natural and Agricultural Sciences, University of Pretoria, Pretoria 0083, South Africa.",South Africa,University of Pretoria
20361,,C,Stutzer,"Department of Biochemistry, Genetics and Microbiology, Faculty of Natural and Agricultural Sciences, University of Pretoria, Pretoria 0083, South Africa.",South Africa,University of Pretoria
20362,,C,Maritz-Olivier,"Department of Biochemistry, Genetics and Microbiology, Faculty of Natural and Agricultural Sciences, University of Pretoria, Pretoria 0083, South Africa.",South Africa,University of Pretoria
20363,,AG,Leija-Montoya,"Facultad de Medicina Mexicali, Universidad Autónoma de Baja California, Centro Cívico, Mexicali 21000, BC, Mexico.",Mexico,Universidad Autónoma de Baja California
20364,,J,González-Ramírez,"Facultad de Enfermería, Universidad Autónoma de Baja California, Av. Álvaro Obregón y Calle ""G"" S/N, Col. Nueva, Mexicali 21100, BC, Mexico.",Mexico,Universidad Autónoma de Baja California
20365,,G,Martínez-Coronilla,"Facultad de Medicina Mexicali, Universidad Autónoma de Baja California, Centro Cívico, Mexicali 21000, BC, Mexico.",Mexico,Universidad Autónoma de Baja California
20366,,ME,Mejía-León,"Facultad de Medicina Mexicali, Universidad Autónoma de Baja California, Centro Cívico, Mexicali 21000, BC, Mexico.",Mexico,Universidad Autónoma de Baja California
20367,,M,Isiordia-Espinoza,"Instituto de Investigación en Ciencias Médicas, Departamento de Clínicas, División de Ciencias Biomédicas, Centro Universitario de Los Altos, Universidad de Guadalajara, Av. Rafael Casillas Aceves 1200, Tepatitlán de Morelos 47600, JAL, Mexico.",Mexico,Centro Universitario de Los Altos
20368,,F,Sánchez-Muñoz,"Departamento de Inmunología, Instituto Nacional de Cardiología, Juan Badiano No. 1, Col. Sección XVI, Tlapan 140080, DF, Mexico.",Mexico,Instituto Nacional de Cardiología
20369,,EG,Chávez-Cortez,"Centro de Ciencias de la Salud, Facultad de Odontología, Universidad Autónoma de Baja California, Zotoluca s/n, Fracc. Calafia, Mexicali 21040, BC, Mexico.",Mexico,Universidad Autónoma de Baja California
20370,,V,Pitones-Rubio,"Centro de Ciencias de la Salud, Facultad de Odontología, Universidad Autónoma de Baja California, Zotoluca s/n, Fracc. Calafia, Mexicali 21040, BC, Mexico.",Mexico,Universidad Autónoma de Baja California
20371,,N,Serafín-Higuera,"Centro de Ciencias de la Salud, Facultad de Odontología, Universidad Autónoma de Baja California, Zotoluca s/n, Fracc. Calafia, Mexicali 21040, BC, Mexico.",Mexico,Universidad Autónoma de Baja California
20372,,T,Vilibic-Cavlek,"School of Medicine, University of Zagreb, 10000 Zagreb, Croatia.",Croatia,University of Zagreb
20373,,V,Stevanovic,"Department of Microbiology and Infectious Diseases with Clinic, Faculty of Veterinary Medicine, University of Zagreb, 10000 Zagreb, Croatia.",Croatia,University of Zagreb
20374,,S,Krcmar,"Department of Biology, Josip Juraj Strossmayer University of Osijek, 31000 Osijek, Croatia.",Croatia,Josip Juraj Strossmayer University of Osijek
